"","PID","Date","Start_Time","End_Time","Condition","Trial","Stimulus","Choice","IntBefore","IntAfter","ERQ_Supp","ERQ_Reapp","DERS","DERS_Nonaccept","DERS_Goals","DERS_Impulse","DERS_Awareness","DERS_Strategies","DERS_Clarity","IUS","IUS_F1","IUS_F2","Horror_Enjoy","Familiarity","Familiar_specific","Age","Gender_Identity","Sex","Race","Marital_Status","Edu_Num","Edu_Cat","Failures","ScreenWidth","ScreenHeight","WebAudio","Browser","Browser_Version","MobileUsed","OS","FullScreenUsed","VSync_Rate_Avg","VSync_Rate_SD","Attention_Check","Difficulties","Questions","RT_sec_Choice","RT_sec_IntBefore","RT_sec_IntAfter","RT_sec_ERQ","RT_sec_DERS","RT_sec_IUS","IntReduce","Effort","Success","RT_sec_IntReduce","RT_sec_Effort","RT_sec_Success","Income","Time_Taken"
"15","sub-003","2023-10-12","11:26:14","11:47:5","Strategy Forecast",3,"FGV3524","Neither","5","5",13,29,50,5,6,3,26,6,4,13,13,0,2,"No",NA,"59","Male","Male","White or Caucasian","Single","11","$15,001 - $25,000",FALSE,1536,864,TRUE,"chrome","117.0.0",FALSE,"Chrome OS",TRUE,61.13,0.359513560244952,4,"none","none",12.024,10.238,14.07,52.61,134.715,48.727,NA,NA,NA,NA,NA,NA,NA,1251
"16","sub-003","2023-10-12","11:26:14","11:47:5","Strategy Forecast",4,"ARF1665","Reappraisal","5","9",13,29,50,5,6,3,26,6,4,13,13,0,2,"No",NA,"59","Male","Male","White or Caucasian","Single","11","$15,001 - $25,000",FALSE,1536,864,TRUE,"chrome","117.0.0",FALSE,"Chrome OS",TRUE,61.13,0.359513560244952,4,"none","none",4.437,9.407,8.742,52.61,134.715,48.727,"92",1,5,8.249,4.109,3.062,NA,1251
"17","sub-243","2023-10-12","11:39:4","11:56:37","Strategy Forecast",1,"ARF1665","Neither","20","20",11,24,66,4,17,11,12,16,6,17,13,4,0,"No",NA,"42","Male","Male","White or Caucasian","Divorced","14","$25,001 - $35,000",FALSE,1920,1080,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.302,0.317600377833529,4,"no","no",7.287,11.758,9.54,44.035,130.155,34.897,NA,NA,NA,NA,NA,NA,NA,1053
"18","sub-243","2023-10-12","11:39:4","11:56:37","Strategy Forecast",2,"CNL1892","Reappraisal","20","36",11,24,66,4,17,11,12,16,6,17,13,4,0,"No",NA,"42","Male","Male","White or Caucasian","Divorced","14","$25,001 - $35,000",FALSE,1920,1080,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.302,0.317600377833529,4,"no","no",7.823,12.539,10.096,44.035,130.155,34.897,"60",5,4,9.413,15.547,2.915,NA,1053
"19","sub-243","2023-10-12","11:39:4","11:56:37","Strategy Forecast",3,"HIU8424","Neither","30","20",11,24,66,4,17,11,12,16,6,17,13,4,0,"No",NA,"42","Male","Male","White or Caucasian","Divorced","14","$25,001 - $35,000",FALSE,1920,1080,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.302,0.317600377833529,4,"no","no",2.519,7.828,9.893,44.035,130.155,34.897,NA,NA,NA,NA,NA,NA,NA,1053
"20","sub-243","2023-10-12","11:39:4","11:56:37","Strategy Forecast",4,"FGV3524","Neither","20","20",11,24,66,4,17,11,12,16,6,17,13,4,0,"No",NA,"42","Male","Male","White or Caucasian","Divorced","14","$25,001 - $35,000",FALSE,1920,1080,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.302,0.317600377833529,4,"no","no",3.437,12.591,9.036,44.035,130.155,34.897,NA,NA,NA,NA,NA,NA,NA,1053
"21","sub-005","2023-10-12","11:37:3","11:57:40","Strategy Forecast",1,"FGV3524","Neither","49","0",3,21,35,0,6,2,18,3,6,9,9,0,4,"No",NA,"38","Female","Female","Hispanic or Latino","Single","12","$25,001 - $35,000",FALSE,1536,864,TRUE,"firefox","118.0.0",FALSE,"Windows 10",TRUE,61.138,0.337372198024674,4,"You should say in the survey description that it only works with certain browsers.","",5.09,11.128,7.174,53.155,101.245,45.071,NA,NA,NA,NA,NA,NA,NA,1237
"22","sub-005","2023-10-12","11:37:3","11:57:40","Strategy Forecast",2,"CNL1892","Distraction","0","100",3,21,35,0,6,2,18,3,6,9,9,0,4,"No",NA,"38","Female","Female","Hispanic or Latino","Single","12","$25,001 - $35,000",FALSE,1536,864,TRUE,"firefox","118.0.0",FALSE,"Windows 10",TRUE,61.138,0.337372198024674,4,"You should say in the survey description that it only works with certain browsers.","",2.457,3.327,6.478,53.155,101.245,45.071,"44",5,5,11.625,20.954,3.77,NA,1237
"23","sub-005","2023-10-12","11:37:3","11:57:40","Strategy Forecast",3,"HIU8424","Distraction","100","100",3,21,35,0,6,2,18,3,6,9,9,0,4,"No",NA,"38","Female","Female","Hispanic or Latino","Single","12","$25,001 - $35,000",FALSE,1536,864,TRUE,"firefox","118.0.0",FALSE,"Windows 10",TRUE,61.138,0.337372198024674,4,"You should say in the survey description that it only works with certain browsers.","",3.479,4.201,7.152,53.155,101.245,45.071,"23",5,5,3.119,3.941,2.064,NA,1237
"24","sub-005","2023-10-12","11:37:3","11:57:40","Strategy Forecast",4,"ARF1665","Distraction","100","100",3,21,35,0,6,2,18,3,6,9,9,0,4,"No",NA,"38","Female","Female","Hispanic or Latino","Single","12","$25,001 - $35,000",FALSE,1536,864,TRUE,"firefox","118.0.0",FALSE,"Windows 10",TRUE,61.138,0.337372198024674,4,"You should say in the survey description that it only works with certain browsers.","",3.006,2.616,5.618,53.155,101.245,45.071,"17",5,5,4.948,2.274,3.136,NA,1237
"25","sub-006","2023-10-12","11:44:32","12:10:42","Strategy Use",1,"CNL1892","Neither","0","100",10,22,91,11,11,3,27,23,16,19,13,6,0,"No",NA,"54","Female","Female","White or Caucasian","Married","17","$50,001 - $75,000",FALSE,2048,1152,TRUE,"firefox","118.0.0",FALSE,"Mac OS",TRUE,60.18,0.174928556845359,4,"no","",8.253,17.677,10.385,68.532,151.622,50.898,NA,NA,NA,NA,NA,NA,NA,1570
"26","sub-006","2023-10-12","11:44:32","12:10:42","Strategy Use",2,"ARF1665","Distraction","83","100",10,22,91,11,11,3,27,23,16,19,13,6,0,"No",NA,"54","Female","Female","White or Caucasian","Married","17","$50,001 - $75,000",FALSE,2048,1152,TRUE,"firefox","118.0.0",FALSE,"Mac OS",TRUE,60.18,0.174928556845359,4,"no","",6.969,22.815,12.967,68.532,151.622,50.898,"60",6,6,19.329,19.003,7.396,NA,1570
"27","sub-006","2023-10-12","11:44:32","12:10:42","Strategy Use",3,"FGV3524","Neither","100","96",10,22,91,11,11,3,27,23,16,19,13,6,0,"No",NA,"54","Female","Female","White or Caucasian","Married","17","$50,001 - $75,000",FALSE,2048,1152,TRUE,"firefox","118.0.0",FALSE,"Mac OS",TRUE,60.18,0.174928556845359,4,"no","",10.272,4.44,13.214,68.532,151.622,50.898,NA,NA,NA,NA,NA,NA,NA,1570
"28","sub-006","2023-10-12","11:44:32","12:10:42","Strategy Use",4,"HIU8424","Reappraisal","83","100",10,22,91,11,11,3,27,23,16,19,13,6,0,"No",NA,"54","Female","Female","White or Caucasian","Married","17","$50,001 - $75,000",FALSE,2048,1152,TRUE,"firefox","118.0.0",FALSE,"Mac OS",TRUE,60.18,0.174928556845359,4,"no","",8.171,12.802,7.722,68.532,151.622,50.898,"30",4,5,39.243,12.506,7.455,NA,1570
"29","sub-007","2023-10-12","11:54:21","12:14:11","Strategy Use",1,"HIU8424","Reappraisal","0","10",7,26,128,11,22,26,23,29,17,33,19,14,6,"No",NA,"24","Female","Female","White or Caucasian","Married","","$25,001 - $35,000",FALSE,1536,864,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.438,0.340837204541992,4,"","",9.641,5.651,11.144,62.271,108.348,56.924,"58",4,0,12.243,10.032,9.241,NA,1190
"30","sub-007","2023-10-12","11:54:21","12:14:11","Strategy Use",2,"CNL1892","Reappraisal","0","0",7,26,128,11,22,26,23,29,17,33,19,14,6,"No",NA,"24","Female","Female","White or Caucasian","Married","","$25,001 - $35,000",FALSE,1536,864,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.438,0.340837204541992,4,"","",3.717,5.336,5.299,62.271,108.348,56.924,"63",5,0,7.539,4.486,3.119,NA,1190
"31","sub-007","2023-10-12","11:54:21","12:14:11","Strategy Use",3,"FGV3524","Reappraisal","0","5",7,26,128,11,22,26,23,29,17,33,19,14,6,"No",NA,"24","Female","Female","White or Caucasian","Married","","$25,001 - $35,000",FALSE,1536,864,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.438,0.340837204541992,4,"","",2.167,6.793,9.361,62.271,108.348,56.924,"65",5,0,9.987,2.627,4.313,NA,1190
"32","sub-007","2023-10-12","11:54:21","12:14:11","Strategy Use",4,"ARF1665","Reappraisal","0","5",7,26,128,11,22,26,23,29,17,33,19,14,6,"No",NA,"24","Female","Female","White or Caucasian","Married","","$25,001 - $35,000",FALSE,1536,864,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.438,0.340837204541992,4,"","",1.722,18.162,8.976,62.271,108.348,56.924,"68",5,0,6.542,2.313,5.397,NA,1190
"33","sub-008","2023-10-12","12:45:41","13:2:21","Strategy Forecast",1,"ARF1665","Distraction","10","20",10,24,58,5,11,6,18,8,10,27,19,8,5,"No",NA,"28","Non-binary / Third gender","Male","Asian","Single","23"," $100,001 - $150,000",FALSE,NA,NA,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.304,0.292284108360344,4,"","",15.551,5.788,6.124,42.53,93.849,31.691,"30",0,2,5.929,10.001,8.186,NA,1000
"34","sub-008","2023-10-12","12:45:41","13:2:21","Strategy Forecast",2,"FGV3524","Distraction","20","25",10,24,58,5,11,6,18,8,10,27,19,8,5,"No",NA,"28","Non-binary / Third gender","Male","Asian","Single","23"," $100,001 - $150,000",FALSE,NA,NA,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.304,0.292284108360344,4,"","",5.16,15.744,7.773,42.53,93.849,31.691,"30",2,2,6.491,1.847,3.247,NA,1000
"35","sub-008","2023-10-12","12:45:41","13:2:21","Strategy Forecast",3,"CNL1892","Distraction","23","20",10,24,58,5,11,6,18,8,10,27,19,8,5,"No",NA,"28","Non-binary / Third gender","Male","Asian","Single","23"," $100,001 - $150,000",FALSE,NA,NA,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.304,0.292284108360344,4,"","",3.51,5.496,11.944,42.53,93.849,31.691,"19",1,2,12.892,4.029,1.724,NA,1000
"36","sub-008","2023-10-12","12:45:41","13:2:21","Strategy Forecast",4,"HIU8424","Reappraisal","20","15",10,24,58,5,11,6,18,8,10,27,19,8,5,"No",NA,"28","Non-binary / Third gender","Male","Asian","Single","23"," $100,001 - $150,000",FALSE,NA,NA,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.304,0.292284108360344,4,"","",3.036,4.447,9.294,42.53,93.849,31.691,"50",1,3,4.073,3.139,3.972,NA,1000
"37","sub-009","2023-10-12","12:42:1","13:14:35","Strategy Use",1,"HIU8424","Distraction","2","70",13,16,63,1,14,3,24,12,9,24,16,8,3,"No",NA,"35","Female","Female","White or Caucasian","Single","12","Prefer not to say",FALSE,1517,853,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.566,0.489009202367399,4,"","",17.33,12.047,15.798,206.97,346.167,48.47,"45",2,3,11.482,11.22,10.671,NA,1954
"38","sub-009","2023-10-12","12:42:1","13:14:35","Strategy Use",2,"CNL1892","Neither","25","60",13,16,63,1,14,3,24,12,9,24,16,8,3,"No",NA,"35","Female","Female","White or Caucasian","Single","12","Prefer not to say",FALSE,1517,853,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.566,0.489009202367399,4,"","",18.687,7.297,15.876,206.97,346.167,48.47,NA,NA,NA,NA,NA,NA,NA,1954
"39","sub-009","2023-10-12","12:42:1","13:14:35","Strategy Use",3,"ARF1665","Distraction","14","72",13,16,63,1,14,3,24,12,9,24,16,8,3,"No",NA,"35","Female","Female","White or Caucasian","Single","12","Prefer not to say",FALSE,1517,853,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.566,0.489009202367399,4,"","",5.051,18.871,11.306,206.97,346.167,48.47,"55",2,3,11.138,9.519,4.217,NA,1954
"40","sub-009","2023-10-12","12:42:1","13:14:35","Strategy Use",4,"FGV3524","Neither","20","30",13,16,63,1,14,3,24,12,9,24,16,8,3,"No",NA,"35","Female","Female","White or Caucasian","Single","12","Prefer not to say",FALSE,1517,853,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.566,0.489009202367399,4,"","",6.225,5.863,15.23,206.97,346.167,48.47,NA,NA,NA,NA,NA,NA,NA,1954
"41","sub-010","2023-10-14","20:17:16","20:37:38","Strategy Forecast",1,"FGV3524","Distraction","13","26",8,22,114,13,20,23,20,22,16,30,18,12,5,"No",NA,"34","Male","Male","Asian","Single","16","Undergradaute degree (BA, BS, etc.)",FALSE,1920,1080,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.418,0.368198316128687,4,"","",13.653,8.098,15.878,39.719,89.051,35.663,"66",2,2,11.774,7.276,3.148,"$75,001 - $100,000",1222
"42","sub-010","2023-10-14","20:17:16","20:37:38","Strategy Forecast",2,"HIU8424","Neither","0","43",8,22,114,13,20,23,20,22,16,30,18,12,5,"No",NA,"34","Male","Male","Asian","Single","16","Undergradaute degree (BA, BS, etc.)",FALSE,1920,1080,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.418,0.368198316128687,4,"","",5.235,7.159,13.063,39.719,89.051,35.663,NA,NA,NA,NA,NA,NA,"$75,001 - $100,000",1222
"43","sub-010","2023-10-14","20:17:16","20:37:38","Strategy Forecast",3,"ARF1665","Neither","21","56",8,22,114,13,20,23,20,22,16,30,18,12,5,"No",NA,"34","Male","Male","Asian","Single","16","Undergradaute degree (BA, BS, etc.)",FALSE,1920,1080,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.418,0.368198316128687,4,"","",2.147,4.673,8.703,39.719,89.051,35.663,NA,NA,NA,NA,NA,NA,"$75,001 - $100,000",1222
"44","sub-010","2023-10-14","20:17:16","20:37:38","Strategy Forecast",4,"CNL1892","Reappraisal","32","42",8,22,114,13,20,23,20,22,16,30,18,12,5,"No",NA,"34","Male","Male","Asian","Single","16","Undergradaute degree (BA, BS, etc.)",FALSE,1920,1080,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.418,0.368198316128687,4,"","",4.295,3.911,24.565,39.719,89.051,35.663,"38",4,3,6.999,2.466,3.855,"$75,001 - $100,000",1222
"45","sub-011","2023-10-14","20:40:51","20:55:21","Strategy Use",1,"CNL1892","Neither","14","20",7,20,95,9,13,15,23,22,13,14,8,6,6,"No",NA,"35","Male","Male","Asian","Single","17","Some graduate school",FALSE,1920,1080,TRUE,"chrome","118.0.0",FALSE,"Windows 10",TRUE,60.664,0.376735981822815,4,"","",3.741,5.233,5.735,27.226,85.402,30.08,NA,NA,NA,NA,NA,NA,"$25,001 - $35,000",870
"46","sub-011","2023-10-14","20:40:51","20:55:21","Strategy Use",2,"FGV3524","Neither","16","16",7,20,95,9,13,15,23,22,13,14,8,6,6,"No",NA,"35","Male","Male","Asian","Single","17","Some graduate school",FALSE,1920,1080,TRUE,"chrome","118.0.0",FALSE,"Windows 10",TRUE,60.664,0.376735981822815,4,"","",2.117,5.025,11.321,27.226,85.402,30.08,NA,NA,NA,NA,NA,NA,"$25,001 - $35,000",870
"47","sub-011","2023-10-14","20:40:51","20:55:21","Strategy Use",3,"ARF1665","Reappraisal","16","13",7,20,95,9,13,15,23,22,13,14,8,6,6,"No",NA,"35","Male","Male","Asian","Single","17","Some graduate school",FALSE,1920,1080,TRUE,"chrome","118.0.0",FALSE,"Windows 10",TRUE,60.664,0.376735981822815,4,"","",6.292,9.958,6.902,27.226,85.402,30.08,"64",5,2,14.844,4.143,2.53,"$25,001 - $35,000",870
"48","sub-011","2023-10-14","20:40:51","20:55:21","Strategy Use",4,"HIU8424","Neither","10","30",7,20,95,9,13,15,23,22,13,14,8,6,6,"No",NA,"35","Male","Male","Asian","Single","17","Some graduate school",FALSE,1920,1080,TRUE,"chrome","118.0.0",FALSE,"Windows 10",TRUE,60.664,0.376735981822815,4,"","",2.855,3.93,10.52,27.226,85.402,30.08,NA,NA,NA,NA,NA,NA,"$25,001 - $35,000",870
"49","sub-012","2023-10-14","20:59:38","21:27:5","Strategy Use",1,"HIU8424","Distraction","0","65",6,24,75,14,22,8,17,8,6,36,23,13,1,"No",NA,"48","Female","Female","White or Caucasian","Married","15","Some college",FALSE,1360,768,TRUE,"chrome","109.0.0",FALSE,"Windows 7",TRUE,59.678,0.362932500611339,4,"no","no",4.309,16.373,20.403,58.675,128.047,77.775,"35",2,2,27.354,8.578,7.597,"$50,001 - $75,000",1647
"50","sub-012","2023-10-14","20:59:38","21:27:5","Strategy Use",2,"FGV3524","Neither","60","55",6,24,75,14,22,8,17,8,6,36,23,13,1,"No",NA,"48","Female","Female","White or Caucasian","Married","15","Some college",FALSE,1360,768,TRUE,"chrome","109.0.0",FALSE,"Windows 7",TRUE,59.678,0.362932500611339,4,"no","no",5.021,10.85,30.31,58.675,128.047,77.775,NA,NA,NA,NA,NA,NA,"$50,001 - $75,000",1647
"51","sub-012","2023-10-14","20:59:38","21:27:5","Strategy Use",3,"ARF1665","Distraction","55","90",6,24,75,14,22,8,17,8,6,36,23,13,1,"No",NA,"48","Female","Female","White or Caucasian","Married","15","Some college",FALSE,1360,768,TRUE,"chrome","109.0.0",FALSE,"Windows 7",TRUE,59.678,0.362932500611339,4,"no","no",8.799,5.965,9.556,58.675,128.047,77.775,"33",2,2,18.591,4.695,3.957,"$50,001 - $75,000",1647
"52","sub-012","2023-10-14","20:59:38","21:27:5","Strategy Use",4,"CNL1892","Neither","75","75",6,24,75,14,22,8,17,8,6,36,23,13,1,"No",NA,"48","Female","Female","White or Caucasian","Married","15","Some college",FALSE,1360,768,TRUE,"chrome","109.0.0",FALSE,"Windows 7",TRUE,59.678,0.362932500611339,4,"no","no",7.69,7.989,16.311,58.675,128.047,77.775,NA,NA,NA,NA,NA,NA,"$50,001 - $75,000",1647
"53","sub-013","2023-10-14","21:23:37","21:41:23","Strategy Use",1,"CNL1892","Neither","0","15",9,24,73,12,12,9,20,13,7,31,23,8,3,"No",NA,"33","Female","Female","White or Caucasian","Single","","Undergradaute degree (BA, BS, etc.)",FALSE,2560,1440,TRUE,"firefox","118.0.0",FALSE,"Windows 10",TRUE,60.596,0.504261836747537,4,"It would have been nice to know what films the clips were from at the end. Now I'm left wondering what was happening in those stories!","",9.372,11.266,12.81,59.593,127.015,46.474,NA,NA,NA,NA,NA,NA,"$35,001 - $50,000",1066
"54","sub-013","2023-10-14","21:23:37","21:41:23","Strategy Use",2,"HIU8424","Neither","5","15",9,24,73,12,12,9,20,13,7,31,23,8,3,"No",NA,"33","Female","Female","White or Caucasian","Single","","Undergradaute degree (BA, BS, etc.)",FALSE,2560,1440,TRUE,"firefox","118.0.0",FALSE,"Windows 10",TRUE,60.596,0.504261836747537,4,"It would have been nice to know what films the clips were from at the end. Now I'm left wondering what was happening in those stories!","",5.34,10.363,8.364,59.593,127.015,46.474,NA,NA,NA,NA,NA,NA,"$35,001 - $50,000",1066
"55","sub-013","2023-10-14","21:23:37","21:41:23","Strategy Use",3,"FGV3524","Neither","10","10",9,24,73,12,12,9,20,13,7,31,23,8,3,"No",NA,"33","Female","Female","White or Caucasian","Single","","Undergradaute degree (BA, BS, etc.)",FALSE,2560,1440,TRUE,"firefox","118.0.0",FALSE,"Windows 10",TRUE,60.596,0.504261836747537,4,"It would have been nice to know what films the clips were from at the end. Now I'm left wondering what was happening in those stories!","",2.789,11.032,11.232,59.593,127.015,46.474,NA,NA,NA,NA,NA,NA,"$35,001 - $50,000",1066
"56","sub-013","2023-10-14","21:23:37","21:41:23","Strategy Use",4,"ARF1665","Neither","5","15",9,24,73,12,12,9,20,13,7,31,23,8,3,"No",NA,"33","Female","Female","White or Caucasian","Single","","Undergradaute degree (BA, BS, etc.)",FALSE,2560,1440,TRUE,"firefox","118.0.0",FALSE,"Windows 10",TRUE,60.596,0.504261836747537,4,"It would have been nice to know what films the clips were from at the end. Now I'm left wondering what was happening in those stories!","",9.762,7.7,5.248,59.593,127.015,46.474,NA,NA,NA,NA,NA,NA,"$35,001 - $50,000",1066
"57","sub-014","2023-10-14","21:35:58","21:56:25","Strategy Forecast",1,"CNL1892","Neither","20","40",12,20,59,5,12,4,20,6,12,24,16,8,6,"No",NA,"28","Female","Female","White or Caucasian","Single","17","Undergradaute degree (BA, BS, etc.)",FALSE,1280,800,TRUE,"safari","13.1.2",FALSE,"Mac OS",TRUE,59.784,0.0328633534503112,4,"","",11.948,13.091,17.403,84.319,187.426,43.276,NA,NA,NA,NA,NA,NA,"$35,001 - $50,000",1227
"58","sub-014","2023-10-14","21:35:58","21:56:25","Strategy Forecast",2,"FGV3524","Reappraisal","20","50",12,20,59,5,12,4,20,6,12,24,16,8,6,"No",NA,"28","Female","Female","White or Caucasian","Single","17","Undergradaute degree (BA, BS, etc.)",FALSE,1280,800,TRUE,"safari","13.1.2",FALSE,"Mac OS",TRUE,59.784,0.0328633534503112,4,"","",4.298,12.341,18.312,84.319,187.426,43.276,"58",3,2,11.575,11.688,11.898,"$35,001 - $50,000",1227
"59","sub-014","2023-10-14","21:35:58","21:56:25","Strategy Forecast",3,"HIU8424","Neither","33","55",12,20,59,5,12,4,20,6,12,24,16,8,6,"No",NA,"28","Female","Female","White or Caucasian","Single","17","Undergradaute degree (BA, BS, etc.)",FALSE,1280,800,TRUE,"safari","13.1.2",FALSE,"Mac OS",TRUE,59.784,0.0328633534503112,4,"","",10.421,10.097,15.468,84.319,187.426,43.276,NA,NA,NA,NA,NA,NA,"$35,001 - $50,000",1227
