Values,Attention Deployment,Response Modulation,Reappraisal,Correct,Reg,RegDesc,EventKey,EventDesc,Emotion,Intense
1435,1,0,0,1,Reduce,Tried to see if anything was between seats,,Dark bus with people hiding in seats,fearful,2
2248,1,0,0,1,Reduce,i looked away,,the monkey person,nervous,2
2860,0,1,0,0,Reduce,Calming down and reflecting on the event afterwards,,"'- there were loud air sounds in the machine one that shot off
- they came from the bottom of the floor at random",startled,2
2297,0,0,0,0,Reduce,ignoring him ,,there was a mad scientist screaming nonsense.,overstimulated,3
411,1,0,0,1,Reduce,I forced myself to move as quickly as possible through it and try to not look at anything except for people I knew were other guests.,,We had to walk into a big shaking box in the machine shop.  I was afraid of the character there and knew he was hiding on the other side.  Sure enough he was and he scared me.,apprehensive,4
2181,0,0,0,1,Reduce,I began to stand up straight and walk faster,,The third emotion was curious. I was curious if there was going to be more people popping out of the corners,nervous,2
3247,1,0,0,1,Reduce,"My closing my eyes and reopening them, and keeping track of the people in front of me ",,"The strobe light hallway was one of the first things that really unsettled me. Initially, it was fine, but as the fog grew thicker and the strobe lights felt more overwhelming it was a lot harder to keep track of what was going on. Just as I was about to get really dizzy we exited the hallway. ",uneasy,3
1447,0,0,1,0,Reduce,I tried to remind myself that the chainsaw was not real by looking closely at it to see that the chain wasn't moving.,,The chainsaw man on the ramp. His chainsaw made very loud noise and he chased us down the very narrow and thin ramp.,fearful,2
3212,0,0,0,0,Reduce,avoiding them ,,there were bodies hanging from the ceiling. they were swaying.,uncomfortable,2
1424,1,0,0,1,Reduce,look around at others,,walking through the tunnel at the end of an event,fearful,2
3034,1,0,0,0,Increase,I tried to intensify this by seeing better what was around me.,,"Getting on the bus was scary because there were flashing lights and fake bodies in the seats and I was very sure that one of them was going to be real. Fortunately, there were no real people that jumped out. I also found it hard to walk through the bus because of the flashing lights so I was falling into the seats. ",suspicion,4
73,0,0,0,0,Increase,Laughing it off after the interaction was over,,"The man with the wrench yelling in our faces about surrendering ourselves to the machine was a little startling, just based on how close he got and the way he talked about giving up and surrendering our...flesh. ",amused,3
546,0,0,0,1,Reduce,I ran away.,,A man chased us with a chainsaw.,chased,4
3443,0,0,0,1,Reduce,moved to the middle of the pack so i couldnt be scared from behind,,the long tunnel with strobing lights with people scaring you from behind,worried,2
2597,0,1,0,1,Reduce,by laughing,,guy with wrench scaring me when i walked in,scared,2
188,0,0,1,1,Reduce,I tried to alleviate my temporary anxiety by reminding myself that this is fun and exciting more so than scary.,,"The first emotionally evocative event that occurred for me was on the bus, instantly, I was scared and screamed when I could not tell the difference between a fake dead body and a real person. It was also my first scare since it was all strobe lights so it was very difficult to see. ",anxious,2
930,1,0,0,1,Reduce,I tried to focus on a spot as to not dissociate,,"The strobe lights in the Machine Shop going off in the meat locker. There were mannequins and actors in there amongst the bodies, but I could not tell which was which. I was worried that someone would jump out at me.",disoriented,3
2039,0,0,0,0,Reduce,avoiding them ,,there were bodies hanging from the ceiling. they were swaying.,jumpy,2
1511,0,0,1,0,Reduce,I used logic and reason to reassure myself that I would not walk into a wall; I walked slowly and carefully,,"When we walked through delirium, there was a green laser beam that blocked your sight of the ground so you didn't know where you were walking. I thought I was going to walk into a wall. There were hands and people lurking under the green laser light that popped out.",fearful,3
1903,1,0,0,1,Increase,I asked more questions about the panopticon,,Talking to the tour guide about the prison,interested,3
