"","PID","Stage","Question","FirstClick","LastClick","PageSubmit","ClickCount","Response","Answer","Correct"
"123","A-013","Pre-Exposure","A03","1.305","2.679","8.932","2","net","pin",0
"124","A-013","Pre-Exposure","A04","0.758","2.772","7.649","2","blue","blue",1
"125","A-013","Pre-Exposure","A05","0.62","13.313","15.028","2","NO ANSWER","soap",0
"126","A-013","Pre-Exposure","A06","0.712","5.816","8.417","2","fast","fast",1
"127","A-013","Pre-Exposure","A07","1.27","11.35","15.029","7","footprint","copy",0
"128","A-013","Pre-Exposure","A08","0.613","12.068","15.136","4","NO ANSWER","saw",0
"129","A-013","Pre-Exposure","A09","0.753","3.786","6.505","2","top","top",1
"130","A-013","Pre-Exposure","A10","0.598","13.21","15.13","7","pack","pack",1
"131","A-013","Pre-Exposure","A11","0.865","2.448","5.18","2","under","under",1
"132","A-013","Pre-Exposure","A12","0.812","7.705","14.38","4","paste","sweet",0
"133","A-013","Pre-Exposure","A13","0.773","10.372","15.122","4","NO ANSWER","suit",0
"134","A-013","Pre-Exposure","A14","0.758","13.102","15.133","9","NO ANSWER","battle",0
"135","A-013","Pre-Exposure","A15","0.527","0.527","15.235","1","NO ANSWER","power",0
"136","A-011","Pre-Exposure","B01","0.535","2.813","7.17","2","light","watch",0
"137","A-011","Pre-Exposure","B02","0.541","11.006","13.325","5","bill","bill",1
"138","A-011","Pre-Exposure","B03","0.614","4.956","5.814","3","sugar","sugar",1
"139","A-011","Pre-Exposure","B04","0.872","12.482","15.084","3","NO ANSWER","bank",0
"140","A-011","Pre-Exposure","B05","0.412","0.412","5.694","1","NO ANSWER","space",0
"141","A-011","Pre-Exposure","B06","0.575","3.962","4.659","3","bowl","bowl",1
"142","A-011","Pre-Exposure","B07","0.7","3.372","15.142","2","NO ANSWER","ball",0
"143","A-011","Pre-Exposure","B08","7.003","13.826","15.178","3","NO ANSWER","gas",0
"144","A-011","Pre-Exposure","B09","9.352","9.352","13.338","1","plate","dog",0
"145","A-011","Pre-Exposure","B10","0.609","10.349","12.768","4","box","air",0
"146","A-011","Pre-Exposure","B11","4.254","6.862","10.916","3","check","check",1
"147","A-011","Pre-Exposure","B12","0","0","15.044","0","NO ANSWER","post",0
"148","A-011","Pre-Exposure","B13","0.64","11.995","15.161","3","NO ANSWER","steam",0
"149","A-011","Pre-Exposure","B14","0.671","0.671","15.172","1","NO ANSWER","jelly",0
"150","A-011","Pre-Exposure","B15","0.941","14.597","15.066","2","NO ANSWER","broad",0
"151","A-014","Pre-Exposure","B01","1.17","2.278","5.663","2","wrap","watch",0
"152","A-014","Pre-Exposure","B02","0.502","13.243","15.02","4","m","bill",0
"153","A-014","Pre-Exposure","B03","2.133","9.7","10.547","3","candy","sugar",0
"154","A-014","Pre-Exposure","B04","0.074","2.12","6.422","3","money","bank",0
"155","A-014","Pre-Exposure","B05","0.135","2.556","10.211","3","cruise","space",0
"156","A-014","Pre-Exposure","B06","1.667","5.941","7.071","3","milk","bowl",0
"157","A-014","Pre-Exposure","B07","0.565","2.762","6.19","2","man","ball",0
"158","A-014","Pre-Exposure","B08","0.422","1.539","5.677","2","prison","gas",0
"159","A-014","Pre-Exposure","B09","0.602","2.827","7.993","3","fry","dog",0
"160","A-014","Pre-Exposure","B10","1.233","3.018","7.155","2","train","air",0
"161","A-014","Pre-Exposure","B11","0.6","2.108","5.897","3","black","check",0
"162","A-014","Pre-Exposure","B12","0.61","2.484","5.509","2","fee","post",0
"163","A-014","Pre-Exposure","B13","0.846","2.571","5.967","2","weapon","steam",0
"164","A-014","Pre-Exposure","B14","0.645","2.54","6.699","3","tide","jelly",0
"165","A-014","Pre-Exposure","B15","0.523","1.665","11.599","2","right","broad",0
"166","A-006","Immediate Post-Exposure","A01","1.647","4.603","8.396","2","Boat","boat",1
"167","A-006","Immediate Post-Exposure","A02","0.718","3.652","4.382","3","honey","honey",1
"168","A-006","Immediate Post-Exposure","A03","0.647","3.698","7.67","2","pin","pin",1
"169","A-006","Immediate Post-Exposure","A04","0.713","10.03","10.825","3","blue","blue",1
"170","A-006","Immediate Post-Exposure","A05","1.24","6.082","6.854","4","soap","soap",1
"171","A-006","Immediate Post-Exposure","A06","0.908","2.2","5.031","2","fast","fast",1
"172","A-006","Immediate Post-Exposure","A07","4.796","4.796","13.362","1","monxide","copy",0
"173","A-006","Immediate Post-Exposure","A08","0.774","5.307","10.856","2","wheat","saw",0
"174","A-006","Immediate Post-Exposure","A09","0.683","6.488","12.814","2","tunnel","top",0
"175","A-006","Immediate Post-Exposure","A10","0.838","7.372","11.607","5","pack","pack",1
"176","A-006","Immediate Post-Exposure","A11","0.94","5.342","8.642","2","under","under",1
"177","A-006","Immediate Post-Exposure","A12","0.763","4.412","5.475","3","sweet","sweet",1
"178","A-006","Immediate Post-Exposure","A13","0.651","5.114","11.195","2","school","suit",0
"179","A-006","Immediate Post-Exposure","A14","0.177","11.824","15.069","4","li","battle",0
"180","A-006","Immediate Post-Exposure","A15","0.627","6.946","13.978","2","house","power",0
"181","A-016","Pre-Exposure","A01","1.52","1.52","10.96","1","boat","boat",1
"182","A-016","Pre-Exposure","A02","1.55","1.55","15.014","1","moun","honey",0
"183","A-016","Pre-Exposure","A03","1.229","1.229","5.658","1","seat","pin",0
"184","A-016","Pre-Exposure","A04","0.992","0.992","14.994","1","watcher","blue",0
"185","A-016","Pre-Exposure","A05","1.474","1.474","10.078","1","wash","soap",0
"186","A-016","Pre-Exposure","A06","3.091","3.091","6.783","1","fast","fast",1
"187","A-016","Pre-Exposure","A07","1.824","1.824","14.774","1","footprint","copy",0
"188","A-016","Pre-Exposure","A08","1.384","8.367","15.011","3","NO ANSWER","saw",0
"189","A-016","Pre-Exposure","A09","1.617","1.617","13.275","1","up","top",0
"190","A-016","Pre-Exposure","A10","0.229","2.092","7.764","2","pack","pack",1
"191","A-016","Pre-Exposure","A11","1.612","1.612","9.781","1","band","under",0
"192","A-016","Pre-Exposure","A12","1.201","1.201","13.988","1","cavity","sweet",0
"193","A-016","Pre-Exposure","A13","0.28","1.981","15.124","2","NO ANSWER","suit",0
"194","A-016","Pre-Exposure","A14","1.152","1.152","15.021","1","NO ANSWER","battle",0
"195","A-016","Pre-Exposure","A15","1.558","1.558","15.108","1","fly","power",0
"196","A-020","Pre-Exposure","B01","2.296","2.296","8.079","1","Whistle","watch",0
"197","A-020","Pre-Exposure","B02","3.711","3.711","7.242","1","Dive","bill",0
"198","A-020","Pre-Exposure","B03","3.477","3.477","15.009","1","NO ANSWER","sugar",0
"199","A-020","Pre-Exposure","B04","3.141","3.141","15.008","1","Boat","bank",0
"200","A-020","Pre-Exposure","B05","3.655","3.655","7.638","1","Rocket","space",0
"201","A-020","Pre-Exposure","B06","0","0","15.122","0","NO ANSWER","bowl",0
"202","A-020","Pre-Exposure","B07","3.347","3.347","8.766","1","Glow","ball",0
"203","A-020","Pre-Exposure","B08","3.237","3.237","15.009","1","NO ANSWER","gas",0
"204","A-020","Pre-Exposure","B09","3.708","3.708","10.137","1","Cold","dog",0
"205","A-020","Pre-Exposure","B10","3.107","3.107","10.439","1","Rail","air",0
"206","A-020","Pre-Exposure","B11","3.026","8.62","11.215","3","Kate","check",0
"207","A-020","Pre-Exposure","B12","4.97","5.995","15.015","2","NO ANSWER","post",0
"208","A-020","Pre-Exposure","B13","3.516","5.794","11.684","3","Metal","steam",0
"209","A-020","Pre-Exposure","B14","3.812","5.18","9.964","3","Fold","jelly",0
"210","A-020","Pre-Exposure","B15","4.148","4.148","10.009","1","Hide","broad",0
"211","A-009","Immediate Post-Exposure","A01","3.877","10.203","13.135","2","Boat","boat",1
"212","A-009","Immediate Post-Exposure","A02","0.644","5.091","9.064","3","Honey","honey",1
"213","A-009","Immediate Post-Exposure","A03","0.944","2.04","5.636","2","Pin","pin",1
"214","A-009","Immediate Post-Exposure","A04","0.765","3.773","7.442","2","Pink","blue",0
"215","A-009","Immediate Post-Exposure","A05","0.788","8.901","15.154","3","Hall","soap",0
"216","A-009","Immediate Post-Exposure","A06","1.609","6.566","10.572","3","Fast","fast",1
"217","A-009","Immediate Post-Exposure","A07","0.736","5.251","10.088","2","Scaredy","copy",0
"218","A-009","Immediate Post-Exposure","A08","3.505","10.348","11.572","3","Saw","saw",1
"219","A-009","Immediate Post-Exposure","A09","1.288","3.482","7.521","2","Think","top",0
"220","A-009","Immediate Post-Exposure","A10","0.668","2.148","9.722","2","Pack","pack",1
"221","A-009","Immediate Post-Exposure","A11","0.778","14.161","15.144","6","Fo","under",0
"222","A-009","Immediate Post-Exposure","A12","0.738","4.045","7.876","2","Ache","sweet",0
"223","A-009","Immediate Post-Exposure","A13","2.583","3.781","7.777","2","School","suit",0
"224","A-009","Immediate Post-Exposure","A14","0.606","10.672","11.568","3","Wreck","battle",0
"225","A-009","Immediate Post-Exposure","A15","0.565","14.771","15.189","5","NO ANSWER","power",0
"226","A-019","Pre-Exposure","A01","0.548","8.409","8.83","4","boat","boat",1
"227","A-019","Pre-Exposure","A02","1.088","2.313","7.427","2","Honey","honey",1
"228","A-019","Pre-Exposure","A03","0.658","1.619","7.631","2","Pin","pin",1
"229","A-019","Pre-Exposure","A04","0.799","3.67","11.327","3","Black","blue",0
"230","A-019","Pre-Exposure","A05","0.586","12.375","15.048","2","O","soap",0
"231","A-019","Pre-Exposure","A06","0.734","11.738","15.077","2","fast","fast",1
"232","A-019","Pre-Exposure","A07","1.996","5.171","9.899","2","copy","copy",1
"233","A-019","Pre-Exposure","A08","0.189","1.572","5.318","3","Saw","saw",1
"234","A-019","Pre-Exposure","A09","0.767","13.214","14.783","4","Top","top",1
"235","A-019","Pre-Exposure","A10","0.373","10.356","15.183","6","NO ANSWER","pack",0
"236","A-019","Pre-Exposure","A11","0.544","6.414","15.165","4","NO ANSWER","under",0
"237","A-019","Pre-Exposure","A12","0.638","3.808","15.165","2","NO ANSWER","sweet",0
"238","A-019","Pre-Exposure","A13","0.619","1.985","7.58","2","school","suit",0
"239","A-019","Pre-Exposure","A14","1.784","2.798","15.075","2","NO ANSWER","battle",0
"240","A-019","Pre-Exposure","A15","0.771","9.778","15.072","6","NO ANSWER","power",0
"241","A-018","Pre-Exposure","C01","0.621","2.776","5.567","3","HURT","sore",0
"242","A-018","Pre-Exposure","C02","0.555","4.797","11.362","5","CAN","chair",0
"243","A-018","Pre-Exposure","C03","0.675","4.299","8.14","4","HIGH","day",0
"244","A-018","Pre-Exposure","C04","0.615","5.252","5.788","3","POT","pot",1
"245","A-018","Pre-Exposure","C05","0.441","5.713","8.976","4","TAPE","blind",0
"246","A-018","Pre-Exposure","C06","0.58","4.213","5.192","3","CANDLE","candle",1
"247","A-018","Pre-Exposure","C07","1.924","13.775","15.105","6","NO ANSWER","cart",0
"248","A-018","Pre-Exposure","C08","0.593","1.597","4.94","2","SUMMER","camp",0
"249","A-018","Pre-Exposure","C09","0.63","4.964","9.233","5","WHEEL","station",0
"250","A-018","Pre-Exposure","C10","1.149","1.149","4.716","2","ANSWER","mark",0
"251","A-018","Pre-Exposure","C11","0.533","1.326","13.325","2","GATE","gate",1
"252","A-018","Pre-Exposure","C12","0.472","1.309","6.798","2","HAUNTED","field",0
"253","A-018","Pre-Exposure","C13","0.279","1.012","7.286","2","TOW","tow",1
"254","A-018","Pre-Exposure","C14","0.659","4.063","8.282","4","FISH","salad",0
"255","A-018","Pre-Exposure","C15","0.513","4.303","15.047","3","NO ANSWER","lip",0
"256","A-004","Pre-Exposure","A01","1.803","1.803","14.649","1","present","boat",0
"257","A-004","Pre-Exposure","A02","4.722","4.722","10.315","1","Honey","honey",1
"258","A-004","Pre-Exposure","A03","1.661","1.661","9.605","1","Pillow","pin",0
"259","A-004","Pre-Exposure","A04","2.134","2.134","15.07","1","NO ANSWER","blue",0
"260","A-004","Pre-Exposure","A05","2.218","2.218","15.17","1","Shake","soap",0
"261","A-004","Pre-Exposure","A06","1.652","1.652","8.583","1","Lunch","fast",0
"262","A-004","Pre-Exposure","A07","2.203","2.203","15.08","1","NO ANSWER","copy",0
"263","A-004","Pre-Exposure","A08","2.955","2.955","15.285","1","NO ANSWER","saw",0
"264","A-004","Pre-Exposure","A09","1.643","1.643","9.914","1","Place","top",0
"265","A-004","Pre-Exposure","A10","2.129","14.1","15.088","4","Pest","pack",0
"266","A-004","Pre-Exposure","A11","1.786","1.786","5.366","1","Sleeve","under",0
"267","A-004","Pre-Exposure","A12","0.208","9.192","15.073","5","ca","sweet",0
"268","A-004","Pre-Exposure","A13","1.5","1.5","15.093","1","NO ANSWER","suit",0
"269","A-004","Pre-Exposure","A14","5.065","5.641","15.201","2","Sail","battle",0
"270","A-004","Pre-Exposure","A15","1.681","1.681","13.324","1","grass","power",0
"271","A-012","Immediate Post-Exposure","A01","0.825","12.317","13.19","5","house","boat",0
"272","A-012","Immediate Post-Exposure","A02","0.121","6.23","6.957","3","honey","honey",1
"273","A-012","Immediate Post-Exposure","A03","0.651","6.183","7.186","4","pin","pin",1
"274","A-012","Immediate Post-Exposure","A04","0.038","13.837","15.021","5","blue","blue",1
"275","A-012","Immediate Post-Exposure","A05","0.702","5.077","6.031","4","soap","soap",1
"276","A-012","Immediate Post-Exposure","A06","0.753","5.818","6.585","4","fast","fast",1
"277","A-012","Immediate Post-Exposure","A07","0.205","0.205","15.223","1","carbon","copy",0
"278","A-012","Immediate Post-Exposure","A08","3.384","5.024","5.847","2","saw","saw",1
"279","A-012","Immediate Post-Exposure","A09","0.27","0.27","15.14","1","NO ANSWER","top",0
"280","A-012","Immediate Post-Exposure","A10","6.465","9.125","9.93","2","pack","pack",1
"281","A-012","Immediate Post-Exposure","A11","0.835","10.967","11.851","3","under","under",1
"282","A-012","Immediate Post-Exposure","A12","3.182","3.182","15.032","1","ache","sweet",0
"283","A-012","Immediate Post-Exposure","A13","12.841","12.841","15.051","1","risky","suit",0
"284","A-012","Immediate Post-Exposure","A14","9.374","9.374","15.036","1","lie","battle",0
"285","A-012","Immediate Post-Exposure","A15","12.647","12.647","15.023","1","aro","power",0
"286","A-014","Immediate Post-Exposure","C01","0.372","10.478","12.302","5","sore","sore",1
"287","A-014","Immediate Post-Exposure","C02","0.464","6.842","7.862","3","chair","chair",1
"288","A-014","Immediate Post-Exposure","C03","0.394","1.053","5.114","2","beam","day",0
"289","A-014","Immediate Post-Exposure","C04","0.508","1.705","6.707","2","pike","pot",0
"290","A-014","Immediate Post-Exposure","C05","1.001","3.082","10.637","3","napkin","blind",0
"291","A-014","Immediate Post-Exposure","C06","0.428","1.41","10.366","2","candle","candle",1
"292","A-014","Immediate Post-Exposure","C07","0.41","3.105","6.387","3","soap","cart",0
"293","A-014","Immediate Post-Exposure","C08","0.394","2.805","4.98","4","sun","camp",0
"294","A-014","Immediate Post-Exposure","C09","0.434","1.115","4.003","2","wheel","station",0
"295","A-014","Immediate Post-Exposure","C10","0.51","2.884","5.16","3","test","mark",0
"296","A-014","Immediate Post-Exposure","C11","0.421","0.9","10.543","2","blue","gate",0
"297","A-014","Immediate Post-Exposure","C12","0.53","1.676","4.675","2","field","field",1
"298","A-014","Immediate Post-Exposure","C13","0.564","2.726","6.152","3","zip","tow",0
"299","A-014","Immediate Post-Exposure","C14","0.445","3.362","5.761","3","fish","salad",0
"300","A-014","Immediate Post-Exposure","C15","1.018","3.851","6.321","3","school","lip",0
"301","A-011","Immediate Post-Exposure","C01","0.917","4.47","5.114","3","sore","sore",1
"302","A-011","Immediate Post-Exposure","C02","0.502","4.145","5.92","4","chair","chair",1
"303","A-011","Immediate Post-Exposure","C03","0.962","2.401","4.455","2","day","day",1
"304","A-011","Immediate Post-Exposure","C04","0.839","9.59","15.1","3","NO ANSWER","pot",0
"305","A-011","Immediate Post-Exposure","C05","0.537","8.431","11.424","8","blind","blind",1
"306","A-011","Immediate Post-Exposure","C06","0.525","1.692","4.837","2","candle","candle",1
"307","A-011","Immediate Post-Exposure","C07","0.404","1.878","4.898","2","cart","cart",1
"308","A-011","Immediate Post-Exposure","C08","0.774","6.077","9.524","5","camp","camp",1
"309","A-011","Immediate Post-Exposure","C09","0.598","5.806","15.18","4","wave","station",0
"310","A-011","Immediate Post-Exposure","C10","0.576","2.039","4.484","2","mark","mark",1
"311","A-011","Immediate Post-Exposure","C11","0.577","7.289","8.12","4","gate","gate",1
"312","A-011","Immediate Post-Exposure","C12","0.561","3.374","7.414","3","field","field",1
"313","A-011","Immediate Post-Exposure","C13","0.7","13.547","15.201","4","f","tow",0
"314","A-011","Immediate Post-Exposure","C14","0.671","2.627","10.564","3","can","salad",0
"315","A-011","Immediate Post-Exposure","C15","0.935","6.395","10.638","3","light","lip",0
"316","A-013","Immediate Post-Exposure","B01","0.831","5.506","7.627","4","watch","watch",1
"317","A-013","Immediate Post-Exposure","B02","0.461","1.775","6.843","2","bill","bill",1
"318","A-013","Immediate Post-Exposure","B03","2.114","3.844","8.724","2","sugar","sugar",1
"319","A-013","Immediate Post-Exposure","B04","0.504","6.201","10.755","4","book","bank",0
"320","A-013","Immediate Post-Exposure","B05","2.107","6.029","13.326","4","time","space",0
"321","A-013","Immediate Post-Exposure","B06","0.3","2.566","5.316","2","bowl","bowl",1
