"","PID","Stage","Section","TimeFirstClick","TimeLastClick","TimeSubmission","TimeClickCount","Recall","RecencyDiscrim","Answer"
"36","A-006","Immediate Post-Exposure","Crypt","1.11","96.644","132.926","6","Animatronics that look like the lizard people from doctor who, 2 men who looked like extras from Cats (2020), school bus that said crypt, flashing room with upside down bodies, shaking cage Electricity?, people missing limbs","3","Bodies Hanging in Meat Freezer"
"37","A-006","Immediate Post-Exposure","Crypt","1.11","96.644","132.926","6","Animatronics that look like the lizard people from doctor who, 2 men who looked like extras from Cats (2020), school bus that said crypt, flashing room with upside down bodies, shaking cage Electricity?, people missing limbs","4","Up the Stairs"
"38","A-006","Immediate Post-Exposure","Crypt","1.11","96.644","132.926","6","Animatronics that look like the lizard people from doctor who, 2 men who looked like extras from Cats (2020), school bus that said crypt, flashing room with upside down bodies, shaking cage Electricity?, people missing limbs","5","Large Monsters over Railing"
"39","A-009","Immediate Post-Exposure","Delirium","0.626","166.628","180.995","24","Delirium was full of psychedelic colors, what you might expect from psychosis and an acid trip. The people in there weren't scary but the colors were exciting and the paintings interesting to look at. It felt rather short and like it didn't have much to offer except the goggles that made things pop out at you. ","1","Art Canvas"
"40","A-009","Immediate Post-Exposure","Delirium","0.626","166.628","180.995","24","Delirium was full of psychedelic colors, what you might expect from psychosis and an acid trip. The people in there weren't scary but the colors were exciting and the paintings interesting to look at. It felt rather short and like it didn't have much to offer except the goggles that made things pop out at you. ","2","Character Dancing on Raised Surface"
"41","A-009","Immediate Post-Exposure","Delirium","0.626","166.628","180.995","24","Delirium was full of psychedelic colors, what you might expect from psychosis and an acid trip. The people in there weren't scary but the colors were exciting and the paintings interesting to look at. It felt rather short and like it didn't have much to offer except the goggles that made things pop out at you. ","3","Spinning Tunnel"
"42","A-009","Immediate Post-Exposure","Delirium","0.626","166.628","180.995","24","Delirium was full of psychedelic colors, what you might expect from psychosis and an acid trip. The people in there weren't scary but the colors were exciting and the paintings interesting to look at. It felt rather short and like it didn't have much to offer except the goggles that made things pop out at you. ","4","Polka Dots"
"43","A-009","Immediate Post-Exposure","Delirium","0.626","166.628","180.995","24","Delirium was full of psychedelic colors, what you might expect from psychosis and an acid trip. The people in there weren't scary but the colors were exciting and the paintings interesting to look at. It felt rather short and like it didn't have much to offer except the goggles that made things pop out at you. ","5","Snake on Ledge"
"44","A-009","Immediate Post-Exposure","Crypt","1.98","70.647","131.647","9","The Crypt was very heavy on dead bodies and animatronics. There were a lot of cages and robotics shaking very violently. At one point some character runs out from a cage, seemingly right through the bars and that made me jump. The human element to it made it especially fun an dscary. I can still hear the screeches and ","1","Bus"
"45","A-009","Immediate Post-Exposure","Crypt","1.98","70.647","131.647","9","The Crypt was very heavy on dead bodies and animatronics. There were a lot of cages and robotics shaking very violently. At one point some character runs out from a cage, seemingly right through the bars and that made me jump. The human element to it made it especially fun an dscary. I can still hear the screeches and ","2","Loud Box inside of Jail Cell"
"46","A-009","Immediate Post-Exposure","Crypt","1.98","70.647","131.647","9","The Crypt was very heavy on dead bodies and animatronics. There were a lot of cages and robotics shaking very violently. At one point some character runs out from a cage, seemingly right through the bars and that made me jump. The human element to it made it especially fun an dscary. I can still hear the screeches and ","3","Bodies Hanging in Meat Freezer"
"47","A-009","Immediate Post-Exposure","Crypt","1.98","70.647","131.647","9","The Crypt was very heavy on dead bodies and animatronics. There were a lot of cages and robotics shaking very violently. At one point some character runs out from a cage, seemingly right through the bars and that made me jump. The human element to it made it especially fun an dscary. I can still hear the screeches and ","4","Up the Stairs"
"48","A-009","Immediate Post-Exposure","Crypt","1.98","70.647","131.647","9","The Crypt was very heavy on dead bodies and animatronics. There were a lot of cages and robotics shaking very violently. At one point some character runs out from a cage, seemingly right through the bars and that made me jump. The human element to it made it especially fun an dscary. I can still hear the screeches and ","5","Large Monsters over Railing"
"49","A-012","Immediate Post-Exposure","Take13","1.243","115.619","121.124","10","there were multiple rooms filled with haunted move sets the actors used loud noises and lunging to scare the participants. I remember in particular a detective but not much else. it was one of the scarier attractions of the night. There was also someone with a chainsaw and that felt very real. ","1","Stage 6 Sign"
"50","A-012","Immediate Post-Exposure","Take13","1.243","115.619","121.124","10","there were multiple rooms filled with haunted move sets the actors used loud noises and lunging to scare the participants. I remember in particular a detective but not much else. it was one of the scarier attractions of the night. There was also someone with a chainsaw and that felt very real. ","2","Dentist Chair"
"51","A-012","Immediate Post-Exposure","Take13","1.243","115.619","121.124","10","there were multiple rooms filled with haunted move sets the actors used loud noises and lunging to scare the participants. I remember in particular a detective but not much else. it was one of the scarier attractions of the night. There was also someone with a chainsaw and that felt very real. ","3","Water Fountain"
"52","A-012","Immediate Post-Exposure","Take13","1.243","115.619","121.124","10","there were multiple rooms filled with haunted move sets the actors used loud noises and lunging to scare the participants. I remember in particular a detective but not much else. it was one of the scarier attractions of the night. There was also someone with a chainsaw and that felt very real. ","4","Director's Chair"
"53","A-012","Immediate Post-Exposure","MachShop","0.917","2.217","121.456","2","I remember there being a lot of tools being carried by the actors. I remember one of them was wearing a uniform with the name Cameron on it. I remember being a lot of machines with dismembered limbs. I also remember there was someone waiting up top that attacked from above and made a loud noise. bleep bloop. ","1","Red Room"
"54","A-012","Immediate Post-Exposure","MachShop","0.917","2.217","121.456","2","I remember there being a lot of tools being carried by the actors. I remember one of them was wearing a uniform with the name Cameron on it. I remember being a lot of machines with dismembered limbs. I also remember there was someone waiting up top that attacked from above and made a loud noise. bleep bloop. ","2","Paint Cans"
"55","A-012","Immediate Post-Exposure","MachShop","0.917","2.217","121.456","2","I remember there being a lot of tools being carried by the actors. I remember one of them was wearing a uniform with the name Cameron on it. I remember being a lot of machines with dismembered limbs. I also remember there was someone waiting up top that attacked from above and made a loud noise. bleep bloop. ","3","Table Saw with Hand"
"56","A-012","Immediate Post-Exposure","MachShop","0.917","2.217","121.456","2","I remember there being a lot of tools being carried by the actors. I remember one of them was wearing a uniform with the name Cameron on it. I remember being a lot of machines with dismembered limbs. I also remember there was someone waiting up top that attacked from above and made a loud noise. bleep bloop. ","4","Walk Through Box"
"57","A-012","Immediate Post-Exposure","MachShop","0.917","2.217","121.456","2","I remember there being a lot of tools being carried by the actors. I remember one of them was wearing a uniform with the name Cameron on it. I remember being a lot of machines with dismembered limbs. I also remember there was someone waiting up top that attacked from above and made a loud noise. bleep bloop. ","5","Long Hallway with Strobes"
"58","A-014","Immediate Post-Exposure","Delirium","0.906","122.376","128.081","19","I remember bright colors, wearing 3D glasses, jump scares, walking through shaking tunnels, neon lights, dancers, music, upbeat, not so scary, narrow hallways, painted neon faces
","1","Art Canvas"
"59","A-014","Immediate Post-Exposure","Delirium","0.906","122.376","128.081","19","I remember bright colors, wearing 3D glasses, jump scares, walking through shaking tunnels, neon lights, dancers, music, upbeat, not so scary, narrow hallways, painted neon faces
","2","Get Glasses / Put on Glasses"
"60","A-014","Immediate Post-Exposure","Delirium","0.906","122.376","128.081","19","I remember bright colors, wearing 3D glasses, jump scares, walking through shaking tunnels, neon lights, dancers, music, upbeat, not so scary, narrow hallways, painted neon faces
","3","Spinning Tunnel"
"61","A-014","Immediate Post-Exposure","Delirium","0.906","122.376","128.081","19","I remember bright colors, wearing 3D glasses, jump scares, walking through shaking tunnels, neon lights, dancers, music, upbeat, not so scary, narrow hallways, painted neon faces
","4","Polka Dots"
"62","A-014","Immediate Post-Exposure","Delirium","0.906","122.376","128.081","19","I remember bright colors, wearing 3D glasses, jump scares, walking through shaking tunnels, neon lights, dancers, music, upbeat, not so scary, narrow hallways, painted neon faces
","5","Snake on Ledge"
"63","A-014","Immediate Post-Exposure","MachShop","1.41","133.037","144.559","7","I remember loud noises, jump scares, large machines, tooth electric chair, teeth filled out head, crates shattering, long tunnel, flashing lights, many people talking to themselves and screaming at us, and narrow hallways","1","Red Room"
"64","A-014","Immediate Post-Exposure","MachShop","1.41","133.037","144.559","7","I remember loud noises, jump scares, large machines, tooth electric chair, teeth filled out head, crates shattering, long tunnel, flashing lights, many people talking to themselves and screaming at us, and narrow hallways","2","Paint Cans"
"65","A-014","Immediate Post-Exposure","MachShop","1.41","133.037","144.559","7","I remember loud noises, jump scares, large machines, tooth electric chair, teeth filled out head, crates shattering, long tunnel, flashing lights, many people talking to themselves and screaming at us, and narrow hallways","3","Fireplace with Bones"
"66","A-014","Immediate Post-Exposure","MachShop","1.41","133.037","144.559","7","I remember loud noises, jump scares, large machines, tooth electric chair, teeth filled out head, crates shattering, long tunnel, flashing lights, many people talking to themselves and screaming at us, and narrow hallways","4","Body Parts Hanging"
"67","A-014","Immediate Post-Exposure","MachShop","1.41","133.037","144.559","7","I remember loud noises, jump scares, large machines, tooth electric chair, teeth filled out head, crates shattering, long tunnel, flashing lights, many people talking to themselves and screaming at us, and narrow hallways","5","Long Hallway with Strobes"
"68","A-011","Immediate Post-Exposure","Take13","0.705","94.549","122.18","7","The box that looked like flesh, the lady next to the fire, the man swinging the crowbar, the man swinging the chainsaw, the man with the wrench, the cut trees in the outdoor area, the man snarling ","1","Man at Typewriter"
"69","A-011","Immediate Post-Exposure","Take13","0.705","94.549","122.18","7","The box that looked like flesh, the lady next to the fire, the man swinging the crowbar, the man swinging the chainsaw, the man with the wrench, the cut trees in the outdoor area, the man snarling ","2","Dentist Chair"
"70","A-011","Immediate Post-Exposure","Take13","0.705","94.549","122.18","7","The box that looked like flesh, the lady next to the fire, the man swinging the crowbar, the man swinging the chainsaw, the man with the wrench, the cut trees in the outdoor area, the man snarling ","3","Water Fountain"
"71","A-011","Immediate Post-Exposure","Take13","0.705","94.549","122.18","7","The box that looked like flesh, the lady next to the fire, the man swinging the crowbar, the man swinging the chainsaw, the man with the wrench, the cut trees in the outdoor area, the man snarling ","4","Lady in Red Robe"
"72","A-011","Immediate Post-Exposure","Crypt","0.766","125.39","134.038","13","The swinging flesh models, the man screaming behind he bars, the man chasing you in the strobe light section, the rattling box, the man at the control desk, the rising and falling animatronic, the twitching back and forth animatronic, the ominous blue tube","1","Bus"
"73","A-011","Immediate Post-Exposure","Crypt","0.766","125.39","134.038","13","The swinging flesh models, the man screaming behind he bars, the man chasing you in the strobe light section, the rattling box, the man at the control desk, the rising and falling animatronic, the twitching back and forth animatronic, the ominous blue tube","2","Loud Box inside of Jail Cell"
"74","A-011","Immediate Post-Exposure","Crypt","0.766","125.39","134.038","13","The swinging flesh models, the man screaming behind he bars, the man chasing you in the strobe light section, the rattling box, the man at the control desk, the rising and falling animatronic, the twitching back and forth animatronic, the ominous blue tube","3","Character coming Between Jail Cell Grates"
"75","A-011","Immediate Post-Exposure","Crypt","0.766","125.39","134.038","13","The swinging flesh models, the man screaming behind he bars, the man chasing you in the strobe light section, the rattling box, the man at the control desk, the rising and falling animatronic, the twitching back and forth animatronic, the ominous blue tube","4","Floorboards Moves"
"76","A-011","Immediate Post-Exposure","Crypt","0.766","125.39","134.038","13","The swinging flesh models, the man screaming behind he bars, the man chasing you in the strobe light section, the rattling box, the man at the control desk, the rising and falling animatronic, the twitching back and forth animatronic, the ominous blue tube","5","Large Monsters over Railing"
"77","A-013","Immediate Post-Exposure","Delirium","3.434","103.877","131.619","10","We had to wear these distortion goggles. Things were in neon colors. We has to walk though a blacked out tunnel than spun with neon paint. There was a scare actor wearing a neon afro. There was a big neon green pipe. The glasses we had to wear were white with black lettering on the side that said Halloween Nights. There was only two scare actors in that section. ","1","Art Canvas"
"78","A-013","Immediate Post-Exposure","Delirium","3.434","103.877","131.619","10","We had to wear these distortion goggles. Things were in neon colors. We has to walk though a blacked out tunnel than spun with neon paint. There was a scare actor wearing a neon afro. There was a big neon green pipe. The glasses we had to wear were white with black lettering on the side that said Halloween Nights. There was only two scare actors in that section. ","2","Character Dancing on Raised Surface"
"79","A-013","Immediate Post-Exposure","Delirium","3.434","103.877","131.619","10","We had to wear these distortion goggles. Things were in neon colors. We has to walk though a blacked out tunnel than spun with neon paint. There was a scare actor wearing a neon afro. There was a big neon green pipe. The glasses we had to wear were white with black lettering on the side that said Halloween Nights. There was only two scare actors in that section. ","3","Spinning Tunnel"
"80","A-013","Immediate Post-Exposure","Delirium","3.434","103.877","131.619","10","We had to wear these distortion goggles. Things were in neon colors. We has to walk though a blacked out tunnel than spun with neon paint. There was a scare actor wearing a neon afro. There was a big neon green pipe. The glasses we had to wear were white with black lettering on the side that said Halloween Nights. There was only two scare actors in that section. ","4","Polka Dots"
"81","A-013","Immediate Post-Exposure","Delirium","3.434","103.877","131.619","10","We had to wear these distortion goggles. Things were in neon colors. We has to walk though a blacked out tunnel than spun with neon paint. There was a scare actor wearing a neon afro. There was a big neon green pipe. The glasses we had to wear were white with black lettering on the side that said Halloween Nights. There was only two scare actors in that section. ","5","Snake on Ledge"
"82","A-013","Immediate Post-Exposure","Crypt","1.331","134.932","139.518","15","There was a guy with a chain saw. We walked past dangling bodies. There was a guy in a cell with long nail like things on his hands. We had to walk through this forest type of thing that had two bodies handing upon exit and a person below on the right hand side in a cape. We had to turn a corner with this strange painting depicting an abborition screaming. ","1","Bus"
"83","A-013","Immediate Post-Exposure","Crypt","1.331","134.932","139.518","15","There was a guy with a chain saw. We walked past dangling bodies. There was a guy in a cell with long nail like things on his hands. We had to walk through this forest type of thing that had two bodies handing upon exit and a person below on the right hand side in a cape. We had to turn a corner with this strange painting depicting an abborition screaming. ","2","Jail Cells with Foliage / Nets"
"84","A-013","Immediate Post-Exposure","Crypt","1.331","134.932","139.518","15","There was a guy with a chain saw. We walked past dangling bodies. There was a guy in a cell with long nail like things on his hands. We had to walk through this forest type of thing that had two bodies handing upon exit and a person below on the right hand side in a cape. We had to turn a corner with this strange painting depicting an abborition screaming. ","3","Character coming Between Jail Cell Grates"
"85","A-013","Immediate Post-Exposure","Crypt","1.331","134.932","139.518","15","There was a guy with a chain saw. We walked past dangling bodies. There was a guy in a cell with long nail like things on his hands. We had to walk through this forest type of thing that had two bodies handing upon exit and a person below on the right hand side in a cape. We had to turn a corner with this strange painting depicting an abborition screaming. ","4","Up the Stairs"
"86","A-013","Immediate Post-Exposure","Crypt","1.331","134.932","139.518","15","There was a guy with a chain saw. We walked past dangling bodies. There was a guy in a cell with long nail like things on his hands. We had to walk through this forest type of thing that had two bodies handing upon exit and a person below on the right hand side in a cape. We had to turn a corner with this strange painting depicting an abborition screaming. ","5","Large Monsters over Railing"
"87","A-019","Immediate Post-Exposure","Delirium","1.694","130.774","131.259","21","Delirium was psychedelic, with these glasses that distorted your vision and balance, clowns and stuff, they sent you through this rotating tunnel that messed your balance up, then at the end took your glasses","1","Art Canvas"
"88","A-019","Immediate Post-Exposure","Delirium","1.694","130.774","131.259","21","Delirium was psychedelic, with these glasses that distorted your vision and balance, clowns and stuff, they sent you through this rotating tunnel that messed your balance up, then at the end took your glasses","2","Get Glasses / Put on Glasses"
"89","A-019","Immediate Post-Exposure","Delirium","1.694","130.774","131.259","21","Delirium was psychedelic, with these glasses that distorted your vision and balance, clowns and stuff, they sent you through this rotating tunnel that messed your balance up, then at the end took your glasses","3","Large Spiders"
"90","A-019","Immediate Post-Exposure","Delirium","1.694","130.774","131.259","21","Delirium was psychedelic, with these glasses that distorted your vision and balance, clowns and stuff, they sent you through this rotating tunnel that messed your balance up, then at the end took your glasses","4","Shaky floor / Bridge"
"91","A-019","Immediate Post-Exposure","Delirium","1.694","130.774","131.259","21","Delirium was psychedelic, with these glasses that distorted your vision and balance, clowns and stuff, they sent you through this rotating tunnel that messed your balance up, then at the end took your glasses","5","Snake on Ledge"
"92","A-019","Immediate Post-Exposure","MachShop","0.837","64.645","124.065","4","Machine shop took you through another part of the prison, it was presented like they were harvesting human parts. At the end of it there was a very shaky box that had a lot of appendages on it. There was also this sliding floor that disoriented you.","1","Chainsaw"
"93","A-019","Immediate Post-Exposure","MachShop","0.837","64.645","124.065","4","Machine shop took you through another part of the prison, it was presented like they were harvesting human parts. At the end of it there was a very shaky box that had a lot of appendages on it. There was also this sliding floor that disoriented you.","2","Paint Cans"
"94","A-019","Immediate Post-Exposure","MachShop","0.837","64.645","124.065","4","Machine shop took you through another part of the prison, it was presented like they were harvesting human parts. At the end of it there was a very shaky box that had a lot of appendages on it. There was also this sliding floor that disoriented you.","3","Table Saw with Hand"
"95","A-019","Immediate Post-Exposure","MachShop","0.837","64.645","124.065","4","Machine shop took you through another part of the prison, it was presented like they were harvesting human parts. At the end of it there was a very shaky box that had a lot of appendages on it. There was also this sliding floor that disoriented you.","4","Body Parts Hanging"
"96","A-019","Immediate Post-Exposure","MachShop","0.837","64.645","124.065","4","Machine shop took you through another part of the prison, it was presented like they were harvesting human parts. At the end of it there was a very shaky box that had a lot of appendages on it. There was also this sliding floor that disoriented you.","5","Long Hallway with Strobes"
"97","A-020","Immediate Post-Exposure","Delirium","9.642","79.327","125.479","3","Sunglasses on, felt like a little buzz. Other than that I saw very bright neon color.
","1","Splatter Paint"
