Values,Attention Deployment,Response Modulation,Reappraisal,Correct,Reg,RegDesc,EventKey,EventDesc,Emotion,Intense
982,0,0,0,1,Decrease,"Similarly, I tried closing my eyes but found it too difficult to continue navigating with them closed.",Tunnel,"The second emotionally-evocative was the spinning tunnel and moving footbridge.  I This was so because I remember exclaiming how ""trippy"" I thought this was due to the 3-D glasses and lights that were on the spinning tunnel, and the off-kilter and moving footbridge really making me dizzy and feeling like I was going to fall.",dizzy,3
1073,1,0,0,0,Decrease,I remind myself to stay as present as possible,Anxious ,This is my first time going to a haunted house in a little over three years or so. I was very excited because I remember how much I love them. Excited but also anxious on just how scary this haunted house is going to be,excited,0
1406,0,0,1,1,Decrease,I tried to tell myself that I was in a haunted house and that I was going to be ok.,foorboards,The third emotionally-evocative event that occurred within the crypt was sliding floorboards,fearful,1
2801,1,0,1,1,Increase,"First time during the tour where it was clear that we were walking amongst cells, and I tried to reflect and pay attention to that",Strobe,"The strobe light hallway was one of the first things that really unsettled me. Initially, it was fine, but as the fog grew thicker and the strobe lights felt more overwhelming it was a lot harder to keep track of what was going on. Just as I was about to get really dizzy we exited the hallway. ",somber,3
3250,1,0,0,1,Decrease,"Once again, I took a breath. Although the strobe lights made me feel this way I knew my only option was to keep going. ",Strobe,"We were walking down the hall with strobe lights, and my eyes were having trouble adjusting at the start. Because of this, I bumped into the person in front of me which caused some stress. Immediately after, an actor quickly approached me face-to-face.",uneasy,3
964,1,0,0,1,Decrease,I tried to find a focal point during the strobe light areas to focus on,Sudden,The part that made me physically jump was the man who dropped the grate overhead towards the end. I wasn't expecting it because it didn't see it. In that moment I also wondered if that actor ever got bored doing such a monotonous task.,dissociation,2
829,0,0,1,1,Decrease,reminded myself i got in for free and was saving money by not getting drinks,Candybar,Skipping the bar - just sorta disappointed that we couldn't go check it out. turned 21 this year and it looked really cool and had a cool backstory about candy people,disappointed,2
3204,1,0,0,0,Decrease,ignoring the man ,frightened,there was a man who slide open a window and popped out. in a skinny hall way.,uncomfortable,2
1340,0,0,0,1,Decrease,I walked quickly ,swinging,"We walked through a room of corpses hanging from the ceiling and swaying. There were strobe lights flashing and actors were lurking around the room but because the lights would flash, you couldn't see where they were. It was hard to differentiate what was a corpse and what was an actor. I was so anxious that the fake corpse would swing into me and touch me or that an actor would pop out unexpectedly. ",fearful,3
2786,0,0,0,1,Decrease,I tried to walk faster ,Hungry,We walked past one of the bars,sleepy,4
1064,0,0,0,1,Increase,I attempted to intensify this excited emotion by anticipating what else I might come across and tried to feel it more through each part of the experiment hoping there was something better coming.,dark,"walking in and it was darker than the previous two rooms, expected it to have more jump-scares because of the darkness and fashing lights",excited,3
553,0,0,0,1,Decrease,Staying away from the hanging props because them touching me heightened my anxiety,Meat,"The room with the strobe lights and the hanging meat props, because it was very hard to see with the strobe light going and feeling like I was being touched even though it was just the meat props, and not being able to see where the actor was 100% of the time was truly freaky",claustrophobic,2
3158,1,0,0,1,Decrease,I tried to regulate my breathing by taking slower breaths. ,Terrifyingly realistic ,I remember dentist man saying creepy things and I could hear the dental noises in the background which terrified me. They sounded like actual dental noises. ,triggered,3
3406,0,0,0,1,Decrease,call and ask where to go,lost,Trying to find the temple group at the beginning ,worried,3
793,1,0,1,0,Increase,I was trying to think about what the context of the corpses on the school bus could possibly be,creepy,"The school bus was creepy because it had many dead bodies sitting in the seats. The bodies weren't real (there was only one or two live actors on the bus), but they served their purpose in creating a creepy vibe. The dead bodies were pretty evenly spaced and were one to each seat. The live actor was standing on the seat and seemed to be wearing a gown. ",curious,3
2866,0,0,1,1,Decrease,knew it was not real and was animatronics,electricity,The electric high voltage section where there were things rattling and making electric sounds ,startled,3
2175,0,0,0,1,Decrease,laugh,chain saw ,walking down a narrow hallway with a character chasing me with a chain saw. the character was wearing a big jacket and maybe a mask. the character made crazy noises when using the chainsaw. ,nervous,3
2420,0,0,0,1,Increase,I did not attempt to reduce it.,Saws,The second was the smell of the gasoline just before walking outside of the building to the woman running with the chainsaw.  I think I remembered this the most cause it reminded me of shift change at the firehouse when the crew starts up the saws.,reminiscent,3
2618,0,0,1,1,Decrease,Knew it was not real,Bus,The bus because you didnt know if the people in the seats were real or not,scared,1
2714,0,0,0,1,Decrease,i screamed and ran away, meat,"we entered machine shop through a box made of red raw meat dripping down from the walls. it looked wet and real. as i stepped out of the box, a scary woman with a cleaver jumped out at me and i ran around her to get to the other side.",shocked,4
1305,0,0,0,1,Decrease,I tried to get out of the freezer before the actor could chase after me. ,Freezer,"The bodies hanging in the meat freezer and a person inside having a hammer or axe, he also came after us when we were leaving. The bodies were hard to avoid and the lights were flashing a lot so it was hard to tell if there was a real person inside. ",fearful,3
2344,0,0,1,1,Decrease,Reminded myself that I could not be touched and I was in control,overwhelming,trying to navigate the meat freezer with strobe lights and hanging bodies and a woman screaming next to me,panicked,2
1267,0,0,0,1,Decrease,I moved away,Concerning,The first event was the man with the chainsaw. He was heavier-set with longish hair. He was wearing red or orange. The chainsaw was very loud and smelled of gasoline. I remember thinking that he must've taken the teeth off the chainsaw for safety purposes because he got REALLY close to us.,fearful,1
2600,1,0,0,1,Decrease,"deep breath, look forward, hold friend's hand",chain saw ,character chasing with a chain saw. ,scared,3
1315,1,0,0,0,Decrease,I tried to prepare myself and look around so I wouldn’t be surprised if someone came up to me or a body bumped into me. ,butcher,"i remember towards the end after we walked through the cages, we got to a room and the line started to slow down. the room ahead of us was strobing and i saw bodies hanging from the ceiling. i couldn't tell who was real and who was fake, and it freaked me out. i moved slowly because i noticed the bodies were swinging in the strobes and i didn't want to be touched. one lady crept out of the shadows and scared me and i ran through",fearful,3
2308,1,0,0,1,Decrease,Focusing on what I could see when there was light and letting my vision blur,uncertain,going up the steps of the bus and seeing seats filled with maybe-people-maybe-not with flashing strobe lights,overwhelmed,4
2907,1,0,0,0,Decrease,try to think about something else,terror,jump scare from an actor standing in the dark in a thin hallway,stressed,3
1708,0,0,0,1,Increase,walked slow so I could stay longer,fog,man with afro jumping in front of me and scaring me . he came from heavy fog that made him invisible,happy,4
1006,0,0,1,1,Decrease,i resized that everything was planned and i would not get hurt,nervewracking ,walking through the door was immediatley distressing for me since it was very dark and hard to tell where to go next. I saw a shadow of a person in the room next to the first room we were in that put me on high alert right from the start. ,dread,2
1405,1,1,1,1,Decrease,"Stay calm, take deep breaths, remind myself it's fake and they can't touch me if they're real",strobe,The most emotionally evocative would be going through the strobe lights with the bodies hanging down. I guess the name for this is the meat freezer. The strobe lights were making it seem like my vision was working in discrete photographs and I was afraid I was going to bump into Kate or the bodies. I was wondering if they were actually characters and going to come alive. They were strung up with rope.,fearful,3
2477,0,0,0,1,Decrease,I tried to walk quickly past it and get to the next area,Nervous,"At the beginning of the crypt, I saw we were entering a bus and was excited but a bit nervous. It was dark inside so I couldn't see anything that offered any hints as to what could be inside. Once we were allowed in, we walked up the steep 2-3 steps into the bus, which was practically pitch black. The lights may have been flashing a bit, though that could have been light seeping in from the windows. The freakiest part was that most of the people sitting on the school bus seats were just dummies, but the space between us and them as we walked down the middle aisle was so small that I was very worried one of them would pop up right in my face. I was glad to be directly behind someone for this part. The only real actor I saw was towards the back left, and they had on one of those dead gray masks. They were already in another person's face ahead of me, though, so I knew their location and wasn't as nervous after that. ",scared,1
1194,0,0,0,1,Increase,"I laughed, and tried to enjoy the moment",Mysterious,"The hallway of cages: we wandered through a dark, foggy room/hallway populated with small cages. Inside were zombie looking patients, someone wrapped in white cloth and sitting up, and a figure with an arm poking out of its chest. There were things hanging from the ceiling, and people who'd occasionally chase me or try and scare me. There was also a box that would rattle. We finally left that room. ",excited,3
2973,0,1,0,1,Decrease,Just tried to stay calm,Cinderblock,Man running through the hallway with a cinderblock,surprised,2
298,0,0,0,1,Decrease,i didnt ,intense,during the crypt the noises were emotionally evocative. ,anxious,2
2531,1,0,0,1,Decrease,"I took deep breaths, I screamed",saw,we were walking on a ramp and a man with a chain saw revved up or powered up the chain saw and then crouched down low and started running the chain saw near our feet. I screeched and also laughed. ,scared,2
2609,0,0,0,1,Increase,kept my head down,Loud,The air gun and chainsaw was the loudest thing really jarring g that I remember. I felt my heart rate rise above normal and started to sweat a bit. The loud banging was also ,scared,3
205,1,0,0,1,Decrease,i tried to breathe deeply because i was very scared  ,butcher,"i remember towards the end after we walked through the cages, we got to a room and the line started to slow down. the room ahead of us was strobing and i saw bodies hanging from the ceiling. i couldn't tell who was real and who was fake, and it freaked me out. i moved slowly because i noticed the bodies were swinging in the strobes and i didn't want to be touched. one lady crept out of the shadows and scared me and i ran through",anxious,3
1377,0,0,0,1,Decrease,Try to see through the strobe lights,Tunnel,Dark tunnel with strobe lights and guy hiding,fearful,3
1502,0,0,0,1,Decrease,by walking faster and closing my eyes,Ominous,"Wandering through the bus: we stepped aboard a silver, metallic bus that had metallic stairs. There was no driver, or at least a plexiglass was shielding him. The bus was dark, and there was flashing white light at a rapid interval. Figures were bent, heads down, one on every over row/seat or so. None of them lunged, thankfully, but I made my way through the aisle as quickly as possible. We descended the ramp and left the bus.",fearful,3
1829,1,0,0,1,Decrease,I tried to think about things other than foods,Hungry,We walked past one of the bars,hungry,4
831,0,0,1,1,Decrease,I thought about how at least the next group behind us got to be scared by whoever was on the bus,bus,"I was walking onto the bus and watching the lights flicker on and off and i kept waiting for one of the mannequins to jump out at me from the seats but none of them did, and then once we walked off the bus i remember hearing screams from on the bus and I also remember noting the handy capable access route from the entrance to the rest of the section",disappointed,1
1139,0,1,0,1,Increase,I tried to get myself pumped before the attraction ,Creepy,The school bus,excited,1
868,0,0,0,1,Decrease,I was disgusted with the way it looked so be looking away and keeping my eyes down or straight ahead helped reduce the immediate feeling of disgust.,Hand,"The third most evocative event was the hand in the table saw.  I think it was because most of the tour it was eyes front staying in line trying not to really react or be susceptible to the actors, so when I saw something I felt comfortable with looking at/investigating a little more I took the time to remember it.",disgusted,3
637,0,0,1,1,Decrease,understanding how the floor was moving under me ,floor,the floor boards moved under our feet when we stepped on them  it was a narrow pathway,confused,2
2505,0,0,0,1,Decrease,by flinching and moving away ,cage ,there were men in cages and one jumped out at us ,scared,2
2656,1,0,0,1,Decrease,Keep my eye on the actor ,Freezer,Meat freezer with hanging bodies. It was freaky with all the bodies and the lights were flickering. Inside was an actor who was yelling and getting all close and barely could see as lights flickered,scared,2
1922,0,0,0,1,Increase,i took a video to show my friends, meat,"we entered machine shop through a box made of red raw meat dripping down from the walls. it looked wet and real. as i stepped out of the box, a scary woman with a cleaver jumped out at me and i ran around her to get to the other side.",intrigue,3
2438,1,0,0,1,Decrease,deep breathing,scary,When a lady speaking a foreign language was trying to escape from the cell and screaming. I think her voice and the dark scared me,run,0
1449,0,0,1,1,Decrease,I remembered it was not real.,Captive,There was a person reaching out of the cages towards me. There were flashing lights and air blowing out of the walls with a loud noise.,fearful,1
2900,0,1,0,1,Decrease,tried to have fun,nervous,Getting followed by the big man with a chainsaw,stressed,3
1227,0,0,0,1,Increase,I attempted to stay in the back to get scared from behind and i found getting scared to be excited ,terrifying ,man swinging axe in my face,excited,3
215,1,0,0,1,Decrease,tried to think about other things,strange,The first emotionally-evocative event that occurred within Machine Shop was the woman host in the beginning that let us into the attraction. She had a eye contact in that completely whited out one of her eyes and that kind of freaked me out. ,anxious,3
509,0,0,1,1,Increase,knew that it was not real,electricity,The electric high voltage section where there were things rattling and making electric sounds ,calm,2
2909,0,0,0,1,Decrease,moved to the middle of the pack so i couldnt be scared from behind,behind,the long tunnel with strobing lights with people scaring you from behind,stressed,2
2595,0,0,0,1,Decrease,I attempted to reduce this feeling by running away but that ended up backfiring because the guy chased after us then and the feeling was intensified.,chainsaw,The chainsaw guy in the third thing was super scary. He was running after us with the chainsaw and he was wearing overalls I think and we were walking down a ramp. ,scared,4
1532,1,0,1,1,Decrease,I just took breaths and said that it was a haunted house,baseball bat,The first emotionally evocative event was the initial jump scare in delirium,fearful,1
1159,0,0,1,1,Increase,I tried to have fun an think of it as a new experience,hanging,people hanging in meat freezer,excited,2
2997,0,0,0,1,Decrease,I didn't look back and I hurried away.,Chainsaw,We walked outside and saw the outside of the penitentiary lit up.  There was a scare actor with a chainsaw there and he chased down the ramp and back inside.,surprised,3
133,0,1,1,0,Decrease,Think about how I have handled loud noises in the past by ignoring them,loud,Gate drop from above,annoyed,3
3400,0,0,1,1,Decrease,telling myself the chainsaw was not real,anxiety,the man started walking behind us down the ramp with a chain saw. there was a smell of gas ,worried,1
1869,0,0,0,1,Decrease,I tried to reduce this emotion by walking with my hands by my side so that no one would jump scare me and make it more intense,Bus,the school bus. I thought all the people were gonna jump out and scare me but they didn't thank god but the anticipation made it the most scary,intense,4
3164,0,0,1,1,Decrease,remind myself where i am,discombobulating ,the floorboards moving ,unaware,3
473,0,0,0,1,Decrease,answer all the questions ,cold,Sitting and filling out the surveys ,bored,2
380,1,0,0,0,Decrease,By looking ahead to see if anyone was inside the freezer that could jump out at me.,Freezer,"The bodies hanging in the meat freezer and a person inside having a hammer or axe, he also came after us when we were leaving. The bodies were hard to avoid and the lights were flashing a lot so it was hard to tell if there was a real person inside. ",anxious,3
1928,1,0,0,1,Increase,look into the box and wit for it to shake,box,"creature in a box, shakes back and forth, empty box, cloudy windows",intrigue,4
2694,0,0,0,1,Decrease,there was not much I could do to get rid of this it just eventually went away.,terror,jump scare from an actor standing in the dark in a thin hallway,shocked,4
2632,1,0,0,1,Decrease,"deep breath, look forward, hold friend's hand ",chain saw ,walking down a narrow hallway with a character chasing me with a chain saw. the character was wearing a big jacket and maybe a mask. the character made crazy noises when using the chainsaw. ,scared,3
629,1,0,0,1,Decrease,I also tried to look ahead of me to try to spot any props or actors,floor,The actors around the moving floors made it a little distracting and slightly difficult to navigate. The floors were made of sheet metal and there were three separate pieces that moved. ,confused,3
1872,0,1,0,1,Decrease,tell myself to calm down,Cells/Cages,There were alot of people in cages. The cages were shaking and people were coming out of the cages.,intense,2
1574,0,0,0,1,Increase,I kept real close to steve.,Demon,We walked into the demon room and I realized we were on the second floor of one of the halls.  I could see the big demon puppet hanging from the ceiling.  I really appreciated how they were using the architecture.  Dara let go of my hands on the way down the stairs because I was ging too fast.,focused,3
498,0,0,1,1,Increase,I knew it wasnt real,bus,on the bus when i didnt know which people in the seats were real people or dummies and wondering which one was going to scare me next,calm,3
308,1,0,0,1,Decrease,By looking at my surroundings and trying to make out the silhouettes of the actors with the weapons. ,Hallway,The empty hallway area where it was pitch black and actors placed throughout the hallway who scared us and followed with hammers and other weapons since we couldnt see very well. ,anxious,3
1157,0,0,1,1,Increase,Intensified by reminding myself that this is supposed to be fu. ,Fun,Colorful set in delirium made me feel excited,excited,2
666,1,0,1,1,Decrease,slowing my breathing and realizing it's just a haunted house,overwhelming,The first emotionally-evocative event was when the strobe lights that relly had me worried about my surroundings and if there were gonna be any other jumpscares during it because I wouldn't be able to see it coming.,confused,1
1453,0,0,0,1,Increase,I allowed myself to cower and act like I was scared. This allowed me to think I should be scared. The actors then tried harder to scare me and in turn I was more scared.,school,The arching electricity they had behind glass. They plumbed the noise through the room and made it seem like there was a problem,fearful,1
95,0,0,1,1,Increase,Remembered how it’s fake ,Wrench,Man with the wrench telling us to surrender our flesh to the machine. It was the first time I got an idea of what this sections shtick was.,amused,1
2662,0,0,0,1,Decrease,walking away from him,vampire,The vampire came up to us while we were waiting in line for the crypt and scared us. He had fangs in and blood all over. ,scared,2
80,0,0,0,0,Increase,Noted the way they set the exhibit up,Bus,"I hates the bus. The strobe lights were disorienting and the passage between the seats was really narrow, so I felt a little claustrophobic ",amused,1
2546,0,0,0,1,Decrease,hold friends hand,strobe lights ,"at the end of machine shop, there was a long dark hallway where strobe lights were going off. I remember feeling like i couldn't tell what I was looking at and was scared to move forward. ",scared,2
3083,0,0,0,1,Decrease,by getting away from him quickly ,cage ,there were men in cages and one jumped out at us ,terrified,2
1156,0,0,0,1,Increase,I walked a little bit slower to prolong the feeling of excitement,Strobe,The dark bus with the flashing strobe lights. The windows of the bus were backed out and there was a strobe light that made it difficult to see what was inside the bus. There were mannequins and actors in the seats but it was almost impossible to distinguish between the two.,excited,3
2253,0,0,1,1,Decrease,I talked to myself to not be nervous that it's all for fun and it's not going to last long. ,scary ,The first event that happens is a two guys pop out at you. ,nervous,2
1104,0,0,0,1,Increase,I after I passed the actors in the hallway I didn't look back to see I they were following me so that they would be able to scare me from behind,Hall,We had to walk down a long empty hallway with doors to cells in it. There was fog and it was fairly dark,excited,2
917,1,0,0,1,Increase,I tried to focus on the walls around me rather than just walking forward,tunnel,The spinning tunnel where it was like hard to walk straight,disoriented,2
3209,0,0,0,1,Decrease,i tried to keep my footing,uneasy,The floor boards moving was definitely kind of scary and a bit uncomfortable.,uncomfortable,2
2397,0,0,0,1,Decrease,I regretted not going back and giving them my number LOL i’m so lame. ,robe,the red robe lady who hit on me but also probably hit in everyone lol. there was another lady before you got to the red robe lady. they both had black wigs on. I don’t remember which section this was in but I think an earlier question said she was in the second one. ,regretful,2
1281,0,0,0,1,Decrease,I attempted to reduce my fear by preparing myself for something to jump out at me. ,Bus,"Getting on the bus was scary because there were flashing lights and fake bodies in the seats and I was very sure that one of them was going to be real. Fortunately, there were no real people that jumped out. I also found it hard to walk through the bus because of the flashing lights so I was falling into the seats. ",fearful,2
2320,1,0,1,0,Decrease,"Focused on the end goal, kept moving forward regardless, reminded myself nothing could hurt me",overwhelming,trying to navigate the meat freezer with strobe lights and hanging bodies and a woman screaming next to me,overwhelmed,4
943,0,0,0,1,Increase,I screamed & called out for my friends,Meat,"There were bodies hanging in the air in what looked like a meat freezer. I couldn't tell if they were supposed to be bodies or potato sacks at first. They were swinging around from side to side in such a way that made me think they were going to hit one of us, and I was really creeped out by that.",disoriented,3
836,1,0,1,1,Decrease,I tried to look straight at the animatronics to figure out how they worked,Jail,The foliage covered jail cells that had some moving animatronics in them with a few scare actors scattered around,disappointed,3
51,0,0,0,0,Increase,I wanted to remain alert and trust my eyes to show me anything before I could be scared by it,nervewracking ,walking through the door was immediatley distressing for me since it was very dark and hard to tell where to go next. I saw a shadow of a person in the room next to the first room we were in that put me on high alert right from the start. ,alert,4
1110,1,0,0,1,Increase,"I wanted to feel excited by the event, so I paid as much selective attention to the scene around me as I could. ",bus,"going through the school bus with all of the flashing whitE lights and combination of dummies and real actors in the seats. there was a dummy woman with ratty long blonde hair in a stiff downward facing position in the first seat on the left side of the bus. it made me think of marching band, which was the last time i regularly took the school bus my senior year of high school. we walked in a single file line within our group, and i was the last person. a few of the actors yelled out at us and it made me giggle.

",excited,2
1439,0,1,0,0,Decrease,I attempted to reduce it by getting through it so that I could no longer be scared,meat,the fricken meat locker had me in shambles I kept being afraid they were gonna hit me when they were hanging and they were lowkey holographic and I couldn't tell if they were real or not but there were also like people in the corners that were like yelling at us and stuff,fearful,3
1008,0,0,0,1,Decrease,I tried to keep moving to get through the event.,loud,"After the first room of the Machine Shop, we went into a small outdoor corridor. There was a man standing against the wall. As we started walking, he revved his chainsaw and jumped out at us. He turned to the next person, and we kept moving, but he turned around again and chased us to the entrance to the next part of the event.",dread,2
2496,0,0,0,1,Decrease,by continuing to move,floor,the floor boards moved under our feet when we stepped on them  it was a narrow pathway,scared,2
123,0,0,1,1,Decrease,Told my self that the strobe lights made it more scary which was a good thing,Hallway,Strobe light hallway with the actors who tried to scare you in it,annoyed,3
3403,0,0,1,1,Decrease,I reasoned that he took the teeth off the chainsaw to make it safer.,Concerning,The first event was the man with the chainsaw. He was heavier-set with longish hair. He was wearing red or orange. The chainsaw was very loud and smelled of gasoline. I remember thinking that he must've taken the teeth off the chainsaw for safety purposes because he got REALLY close to us.,worried,2
2583,0,0,0,1,Decrease,I stood up tall and walked faster,Anxious ,This is my first time going to a haunted house in a little over three years or so. I was very excited because I remember how much I love them. Excited but also anxious on just how scary this haunted house is going to be,scared,0
3007,0,0,0,0,Decrease,I forced myself to move as quickly as possible through it and try to not look at anything except for people I knew were other guests.,box,We had to walk into a big shaking box in the machine shop.  I was afraid of the character there and knew he was hiding on the other side.  Sure enough he was and he scared me.,surprised,2
59,0,0,1,1,Increase,Again just kept thinking that i have never seen that before in a hunted house and it was cool,Cinderblock,Man running through the hallway with a cinderblock,amazed,2
1274,0,0,1,1,Decrease,I told myself that I hadn't fallen and that the floor was now stable. ,foorboards,The third emotionally-evocative event that occurred within the crypt was sliding floorboards,fearful,2
3249,1,0,0,1,Decrease,breathing slowly,worried,there was a man typing on a type writer when you firs enter.,uneasy,1
1062,1,0,0,1,Increase,look around the room,meat,"the bodies hanging in the meat locker, barbie mannequin in the last corner of the room, one actress with long curly brown hair in a red cape. many upside down decapitated bodies",excited,4
566,0,0,0,1,Decrease,shiver,cold,standing in line,cold,3
2536,0,0,1,1,Decrease,I just thought again that they couldn't touch me,Wrench,There was someone with a wrench that jumped in front of me and took a swing inches from my face.,scared,2
3329,1,0,0,1,Decrease,"deep breath, look forward, hold friend's hand",strobe lights ,long hallway with smoke and strobe lights. this was at the end of one of the tours. ,upset,3
540,1,0,0,1,Increase,I kept looking around every corner to make sure that no one would come out and scare me.,cage,cages,cautious,3
121,0,0,0,1,Decrease,Walking away ,Wrench,"The man with the wrench yelling in our faces about surrendering ourselves to the machine was a little startling, just based on how close he got and the way he talked about giving up and surrendering our...flesh. ",annoyed,2
