Values,Attention Deployment,Response Modulation,Reappraisal,Correct,Reg,RegDesc,EventKey,EventDesc,Emotion,Intense
3159,0,0,0,1,Decrease,I tried to close my eyes to get through but needed some visual so my efforts were not rewarded with success as I needed my sight. ,Tunnel,"The second emotionally-evocative was the spinning tunnel and moving footbridge.  I This was so because I remember exclaiming how ""trippy"" I thought this was due to the 3-D glasses and lights that were on the spinning tunnel, and the off-kilter and moving footbridge really making me dizzy and feeling like I was going to fall.",trippy,3
3154,0,0,1,1,Increase,"reminded myself that it was a haunted house. Didn't like the play on people's fears, but tried to appreciate the fake gore. Also initially thought that a dummy hanging upside down was a real person and tried to appreciate the acrobatic skill, but then realized it was unlikely to be a real person hanging still, upside down for so long.",disturbing,MEAT BAGS,traumatic,2
3151,0,0,0,1,Decrease,I tried to get out of the bus quickly.,Narrow,There was a person in the beginning of the narrow bus that jump scared me by coming up in my face with flashing dim lights.,trapped,4
3142,1,0,0,1,Decrease,I talked to Alex more often and the tour guide,Alarming,A man tried to hit me with a cinderblock and then pulled back at the last second. ,tired,4
3112,1,0,0,1,Decrease,by talking to the person behind me,conversation,My clearest memories happened right before we entered Halloween Nights and after we left (they were the conversations I had with the other people there) I do clearly remember a conversation I had during the third event with a boy there when we talked about zombies on the bus part of the section because I was scared there was going to be someone hiding in the seats of the bus that would pop up and I would scream.,terrified,4
3107,0,0,1,1,Decrease,by also telling me its not real,anxiety,the man started walking behind us down the ramp with a chain saw. there was a smell of gas ,terrified,2
3104,1,0,0,1,Decrease,I tried to look away from the bodies and focus on my friends in front of me.,claustrophobic ,The third event I can remember is the bodies hanging upside-down overhead. There was many of them and we struggled to walk through without them touching which scared us. ,terrified,3
3101,0,0,1,1,Decrease,there was nothing I could really do besides remember that they were trying to scare me and that I was really only scaring myself,strange,The first emotionally-evocative event that occurred within Machine Shop was the woman host in the beginning that let us into the attraction. She had a eye contact in that completely whited out one of her eyes and that kind of freaked me out. ,terrified,3
3098,0,0,0,1,Decrease,look to friends,creepy,walking through cages,terrified,1
3095,0,0,0,1,Decrease,look to friends,jumpscare,actor walking up to me and getting in my face,terrified,1
3085,0,0,0,0,Increase,I screamed and held onto my friend so that she would also scream,Bus,The man hiding at the back of the bus who jumped out at me,terrified,3
3084,0,0,0,1,Decrease,Same ,Ominous,"Wandering through the bus: we stepped aboard a silver, metallic bus that had metallic stairs. There was no driver, or at least a plexiglass was shielding him. The bus was dark, and there was flashing white light at a rapid interval. Figures were bent, heads down, one on every over row/seat or so. None of them lunged, thankfully, but I made my way through the aisle as quickly as possible. We descended the ramp and left the bus.",terrified,3
3078,0,1,1,0,Decrease,I was looking forward and trying to not psyche myself out,bus,"The walking through the bus, it was claustrophobic and exposed and it was nerve wracking because I was uncertain which figures were wax and which would jump out at me",terrified,4
3061,1,1,0,1,Decrease,"reassured myself, talked to myself, singing",hanging,"meat carcass room, there was the room with one live actor and strobe lights and a bunch of fake bodies hanging from their feet from the ceiling. the man scared the person in front of me, and was talking about blood and meat",tense,3
3057,0,0,1,1,Decrease,Thinking about how it would be over soon,Tense,We walked down  a tight hallway after exciting one of the rooms with a man and a hammer. The hallway was dark and had pictures and cells on either side. There were clanking sounds behind each of the cells/holes/images but nothing popped out until a man with a mallet at the end where the area opened up. Throughout the path there were smoke gun noises,tense,3
3050,1,0,0,0,Decrease,I started smiling at actors who attempted to scare me,Cautious,The other event I recall was a false door that opened and a hand sticking out. I remembered this moment because the person almost touched me.,tense,3
3049,1,1,0,0,Decrease,"Sang to myself, laughed, talked out loud to myself",hanging,"meat carcass room, there was the room with one live actor and strobe lights and a bunch of fake bodies hanging from their feet from the ceiling. the man scared the person in front of me, and was talking about blood and meat",tense,2
3045,0,1,0,0,Decrease,by talking myself down that there would not be a jump scare,tense,The second thing that happened to me was a big blast of air on my legs that I thought was someone or something grabbing me. I was already fearful for the event as the bus had already creeped me out and I was definitely on edge. ,tense,4
3044,0,0,1,1,Decrease,Reminded myself that I would not be touched,hoops,Walking down a long black hallway with strobe lights and hoola hoops on the ground,tense,4
3029,0,0,1,1,Decrease,I reminded myself that it was only a few minutes and tried to prepare myself that someone would jump out at me. ,Intense,"The first emotionally evocative event that occurred within The Crypt was the very beginning when we were directed to enter a school bus. Once on board, there was flashing white light and scattered among the seats were either scary figure dummies or actual scare actors. There was screaming and growling and some of the actors jumped out at you as you moved through the bus. This was intense given there was a flashing light that made vision go out every other second. ",suspense,2
3027,1,0,0,1,Decrease,I tried to remind myself that something was bound to jump out at me and I needed to be prepared for it. ,Intense,"The second emotionally evocative event is when we had to walk through the hallway of cells. I remember that one of the first cells on the right had a dummy disguised as a prisoner halfway in a chamber. One of the next ones on the right had a dummy on the ground dressed as a man on the suit. It was emaciated like a skeleton and the torso was ripped a part. Toward the end, the last cell had an actual scare actor and he was dressed in black with a purple cape. He had black gloves on with these long nails/claws and he would walk around the cell looking at you as he grabbed the bars and screamed at you. He would also reach out and put his hand in front of you. When we were on the middle part of the cell that was protruding parallel to the wall, the woman in front of us got scared as the man put his gloved hand directly in front of her face. ",suspense,2
3013,0,0,0,0,Decrease,Predicting what would happen next ,Jarring,A dark room that was almost pitch black and the sound of chainsaws,surprised,2
3012,0,0,0,0,Decrease,"I ran away from the main with the chainsaw to get over the initial shock of seeing him, but I was also having a good time and laughing. ",Startling,"When we walked out into the outdoor garden, there was a man with a chainsaw who was near the group ahead of us. I stopped, but there were two people behind me, so I had to keep going. The man walked up towards me, not to fast, but then lunged and turned the chainsaw on at the level of my knees. I screamed and then laughed while I tried to run away.",surprised,1
3002,0,0,0,1,Decrease,move on to next thing,choppy,guy chopping the table ,surprised,2
3000,1,0,0,1,Decrease,deep breaths,Rattling,Rattling cage,surprised,1
2994,1,0,0,0,Decrease,I calmed myself down mentally by intentionally focusing on different visuals around me.,Axe,"At the beginning, an actor took practice swings at on-coming participants, which scared a few.",surprised,3
2975,0,0,0,1,Decrease,Love on,choppy,guy chopping the table ,surprised,2
2970,0,0,0,1,Decrease,I tried to hurry away from her.,Robe,Dara and I admired the lady's robe in Take 13 and said we would consider getting one for ourselves.  Then she followed us into the next room and snapped her fan.,surprised,3
2935,0,1,0,1,Decrease,the floor moved and I just stayed calm and retained my balence,Grab,Moving floor in the crypt with the U hallway,surprised,3
2908,0,1,0,0,Increase,"i didn't really attempt to intensify it, I just thought it was kind of disturbing and being in the mindset of trying to enjoy a haunted house, I directed my atention into that feeling instead of shying away from it",box,the thing in the cage banging loudly was emotionally evocative. It was really violently shaking like there was something inside banging its face on the box to get out. ,stressed,1
2897,0,0,1,0,Decrease,accept the fact that I am trying to be scared,strange,The first emotionally-evocative event that occurred within Machine Shop was the woman host in the beginning that let us into the attraction. She had a eye contact in that completely whited out one of her eyes and that kind of freaked me out. ,stressed,4
2888,0,0,0,1,Decrease,reduce this by again walking fast so that the feeling would end.,Bus,the school bus. I thought all the people were gonna jump out and scare me but they didn't thank god but the anticipation made it the most scary,stillness,4
2878,0,0,0,1,Decrease,Didn’t have to ,Tablesaw,"The hand in the table saw made my skin crawl a bit, both because it is one of those freak accidents I am prone to have intrusive thoughts about and it was paired with hearing someone say ""I can smell your flesh burn""",startled,2
2870,0,0,0,1,Decrease,"It was relatively easy, since we weren't surrounded by anything scary quite yet. ",Instructions,"When our group was receiving instructions, there was a loud bang that made me jump a little. We were surrounded by a ton of people who also reacted the same way, which made me feel better. ",startled,1
2853,0,0,0,0,Decrease,"Say ""you knew that was going to happen you idiot""",chainsaw,The man running past me with the chainsaw was a bit freaky; he was dressed in like zombie-ish lumberjack garb and he got so close to us. The chainsaw kind of turned on as he passed us which made me start even though I expected it. We were outside and the lighting was all red. I was kind of jogging to get past him.,startled,2
2852,0,0,0,1,Decrease,Kept walking until it wasnt shaky,floor,When the floor rattled ,startled,1
2836,0,0,0,1,Decrease,by continuing to follow my friends ,cage ,there were men in cages and one jumped out at us ,startled,2
2831,0,0,1,1,Decrease,telling myself the person was not real,frightened,there was a man who slide open a window and popped out. in a skinny hall way.,startled,1
2823,0,0,1,1,Decrease,He just caught me off guard so once I realized what happened I was okay.,Wrench,There was someone with a wrench that jumped in front of me and took a swing inches from my face.,startled,3
2814,0,1,1,0,Increase,Go into it expecting more jumpscares and psyching myself out.,Jump-scare,"In the beginning, there were people requesting to leave as it was too scary. We entered there was someone who threw a chain saw in our faces with a loud noise. ",spooked,1
2788,0,0,0,1,Decrease,I started to move more while we were waiting in line,Alarming,A man tried to hit me with a cinderblock and then pulled back at the last second. ,sleepy,4
2782,0,0,0,0,Increase,By considering everything that could happen,Ominous ,"We entered the long hallway that was the widest section of the part. At first it looked like there wasnt much except a few holes in the wall where the cells were. Then smoke shot out, hid the view and multiple actors appeared and converged on the group with jump scares",skeptical,1
2780,0,1,1,0,Decrease,Any time I tried to remember that they were just actors I tried to push that thought out of my mind.,Bus,The man hiding at the back of the bus who jumped out at me,skeptical,1
2779,1,0,0,0,Increase,Thinking about what could occur,Tense,We walked down  a tight hallway after exciting one of the rooms with a man and a hammer. The hallway was dark and had pictures and cells on either side. There were clanking sounds behind each of the cells/holes/images but nothing popped out until a man with a mallet at the end where the area opened up. Throughout the path there were smoke gun noises,skeptical,3
2760,1,0,0,1,Decrease,Breathing slowly and holding on,Tunnel ,We walked through a tunnel of darkness that spun with lights ,sick,3
2754,0,0,0,0,Increase,Trying to ignore the scary people nearby so I don't anticipate them potentially coming after me,Cages,We entered a hallway full of cages with demon vampire things in them.,shook,4
2742,0,0,1,1,Decrease,Just knowing the chainsaw didn't have the actual saw part on it.,chainsaw,"Getting chased down by a guy with a chainsaw, was very shocked and scared. ",shocked,4
2738,1,0,0,1,Decrease,"Once i realized that the actor’s could escape the cages, I prepared myself to look around and see them so i wouldn’t be shocked if they popped out",Cages,"When we were walking through one of the attractions, we had to walk through a room filled with cages. Some of the cages had fake decorations or skeletons making sounds, and some had real people. I thought the people were enclosed in the cages, but then they broke out and started scaring us and I noticed the bars of the cages were made of a bendy material. ",shocked,2
2734,0,0,1,1,Decrease,I reminded myself its just a man in a clown costume. ,terrifying ,A clown approached me sometime during the haunted house and caught me off guard. He yelled in my face and I screamed. ,shocked,3
2722,0,0,1,1,Decrease,Reminding myself it wasn’t real,Chilling,"We walked through a hall that had portraits of people along the wall. It seemed to me that the pictures changed as we walked by them so I was looking at each picture intently, trying to uncover this metamorphosis. When go by this wall that has a hole where a picture should be, I as still staring hard, expecting another portrait. In it's place was a shrieking person and my blood almost jumped out of my flesh.",shocked,2
2712,0,0,1,1,Decrease,"By knowing that the bodies were fake, I just was shocked how graphic this was.",hanging,"There were hanging bodies from the ceiling towards the end, they were dangling with chains upside down swinging back and forth. There were black and white strobe lights going in and out.",shocked,2
2708,0,0,1,1,Decrease,Remind myself it wasn’t real,Gory,"Walking into the bus, the strobe lights highlighting the dead skeletons with blood on their bones and holes in their skulls.",shocked,2
2702,1,0,0,1,Decrease,I took a deep breath. ,disturbing,The first event I can remember is when the people were screaming behind the cells. I also remember the man on the game control panels in the beginning. ,shocked,2
2692,1,1,0,0,Decrease,By breathing and trying not to get too scared.,axe,"The person at the beginning had all white eyes, was wearing a red outfit, and was cutting off each group with a bloody hand saw that she had in her hand. ",shaky,1
2688,0,1,0,1,Decrease,Once I reached the end of the room I attempted to forget about it and have fun,overwhelming,trying to navigate the meat freezer with strobe lights and hanging bodies and a woman screaming next to me,serious,3
2685,1,1,0,0,Decrease,"Sang to myself, laughed, talked out loud to myself",bus,"the aluminum bus; there were strobe lights and dummys of people in some of the seats in either sides. there were two live people sitting on either side of the bus sitting near the middle. on the left was an African American man with dreds and on the right side there was a person with long brunette hair in front of their face. wwe made it to the end of the bus in a single file line with the man with dreds following us, but other than that the actors did not interact",scared,2
2682,0,0,0,1,Decrease,by finding my group,frightened,there was a man who slide open a window and popped out. in a skinny hall way.,scared,2
2681,0,0,1,1,Decrease,myself it wasn't real,frightened,there was a man who slide open a window and popped out. in a skinny hall way.,scared,3
2679,0,1,0,1,Decrease,by trying to laugh at the scenario,wrench,guy with wrench scaring me when i walked in,scared,2
2653,1,1,0,0,Decrease,"reassured myself and talked to myself, singing",hanging,"meat carcass room, there was the room with one live actor and strobe lights and a bunch of fake bodies hanging from their feet from the ceiling. the man scared the person in front of me, and was talking about blood and meat",scared,2
2641,1,1,0,0,Decrease,"Sang to myself, laughed, talked out loud to myself",hanging,"meat carcass room, there was the room with one live actor and strobe lights and a bunch of fake bodies hanging from their feet from the ceiling. the man scared the person in front of me, and was talking about blood and meat",scared,2
2634,1,0,0,1,Decrease,"deep breath, look forward, 1hand",tunnel ,tunnel in delirium. spirals / stripes along the walls. walk through the tunnel and felt like the tunnel that moves in a fun-house. ,scared,1
2626,0,0,1,1,Decrease,By telling myself that they were just actors dressed up.,axe,"The person at the beginning had all white eyes, was wearing a red outfit, and was cutting off each group with a bloody hand saw that she had in her hand. ",scared,2
2624,1,0,0,1,Decrease,look straight forward or down and take deep breath ,chain saw ,walking down a narrow hallway with a character chasing me with a chain saw. the character was wearing a big jacket and maybe a mask. the character made crazy noises when using the chainsaw. ,scared,2
2617,1,0,0,1,Decrease,"deep breath, look forward, hold friend's hand",shower/tub,body parts in a shower/tub ,scared,1
2605,0,0,1,1,Decrease,Remembered they couldn't touch me and I would be okay.,polka-dots,A person was camouflaged in polka-dots in the Delirium section and she was hidden on the black walls of the room and jumped out at us.,scared,2
2604,0,0,1,1,Decrease,remembered it’s not a real gun so there’s no reason to be startled. ,Noise,There was an air gun that was very jarring. I think the sounds were one of the scariest bits.,scared,4
2586,1,0,0,0,Decrease,"deep breath, look somewhere else, hold friends hand",jail cell ,characters were hanging within jail cells. they moved about in a slow manner and then did a jump scare and/or made noises. ,scared,3
2579,0,0,0,1,Decrease,I attempted to reduce it by walking faster past him but I couldn't cause he was in our way. ,hanging-man,the hanging man that was like laying across the place we were walking and we had to like sneak around him and I literally thought he was going to grab us or fall into us or something,scared,3
2568,1,0,0,1,Decrease,"deep breath, look forward, hold friend's hand",bus ,Bus walk through. dark with fog/smoke surrounding. people sitting in the seats. cannot see in front of me or know where to walk. Exit bus. ,scared,3
2560,0,0,0,1,Decrease,I attempted to reduce this emotion by walking as fast as I could so that I could get out and not be scared anymore. ,Bus,the school bus. I thought all the people were gonna jump out and scare me but they didn't thank god but the anticipation made it the most scary,scared,3
2555,0,0,1,1,Decrease,by telling myself it was all fake ,worried,there was a man typing on a type writer when you firs enter.,scared,3
2552,0,1,0,1,Decrease,staying calm and moving through the room ,bodies,there were bodies hanging from the ceiling. they were swaying.,scared,2
2551,0,0,1,1,Decrease,realize they cant touch me,freaky,walking through the tunnel at the end of an event,scared,1
2525,0,0,0,1,Increase,I started screaming out to my friend that it looked like they were going to hit us so that she would get scared with me,Meat,"There were bodies hanging in the air in what looked like a meat freezer. I couldn't tell if they were supposed to be bodies or potato sacks at first. They were swinging around from side to side in such a way that made me think they were going to hit one of us, and I was really creeped out by that.",scared,3
2512,1,0,0,1,Decrease,"deep breath, look forward, hold friend's hand",strobe lights ,long hallway with smoke and strobe lights. this was at the end of one of the tours. ,scared,3
2509,0,0,0,1,Decrease,Attempted to reduce it just by walking a little faster and not looking the creepy guy in the eyes.,moving-machine,At one point we had to walk through a big loud machine and it was shaking and i was worried that someone was just going to jump out of it. There was a guy at the end that had a knife I think and he was a little scary he was getting all up in our faces ,scared,2
2491,0,0,0,1,Decrease,grabbed on to becca,strobes,hall with strobe lights. I thought I was having a seizure or on drugs. disguised everything,scared,1
2483,1,0,1,0,Decrease,I tried to breathe through being scared and remind myself they were actors or props and couldn't touch me ,Bus,"Walking through the bus- I remember flashing lights and having a hard time seeing, I was afraid of the people sitting in the seats and spend time trying to figure out whether or not they were real but it was really hard to tell because of the flashing lights. I remember at the end there was one real actor that jumped at the person in front of me and I was thankful that it wasn't me so I wouldn't scream. ",scared,2
2476,0,0,0,0,Decrease,look away ,creepy,the monkey person,scared,3
2454,0,0,0,1,Decrease,told myself i would come again next year,exit,Exiting through the big gates. It was cool and i was a bit sad it was over evn though it was scary it was also fun.,sad,2
2453,0,0,0,0,Decrease,looked away from the small fake kid on the right in the seat,bus,bus. walked up into the bus and there were fake kids in the seats on the bus with blood all over them. as you walked further into the bus there were a few real crew members that jumped out and scared you. the bus smelled bad and made me nostalgic,sad,1
2444,0,1,0,1,Decrease,Bring more happy ,scream,an actress was scaring a girl in front of me and she would not of let her to go and let everyone else in the group go.,sad,2
2434,1,0,0,1,Increase,focused on the space and how it was put together nd the people who set it up,Demon,We walked into the demon room and I realized we were on the second floor of one of the halls.  I could see the big demon puppet hanging from the ceiling.  I really appreciated how they were using the architecture.  Dara let go of my hands on the way down the stairs because I was ging too fast.,respect,4
2423,1,0,0,0,Decrease,I just stopped thinking about the prison and focused on the attraction ,Spooky,"Going into the bus was ""emotionally-evocative"" because of the strobe lights and the uncertainty of whether or not somebody would jump at you.",remorse,2
2422,0,0,1,1,Increase,"As mentioned above, I equated this to shift change at the firehouse so I focused on reminiscing my most recent shift and going through that morning routine. ",Saws,The second was the smell of the gasoline just before walking outside of the building to the woman running with the chainsaw.  I think I remembered this the most cause it reminded me of shift change at the firehouse when the crew starts up the saws.,reminiscent,4
2414,0,0,0,1,Increase,Enjoying the scare and moving onto the next,Ominous ,"We entered the long hallway that was the widest section of the part. At first it looked like there wasnt much except a few holes in the wall where the cells were. Then smoke shot out, hid the view and multiple actors appeared and converged on the group with jump scares",relieved,2
2369,0,0,0,1,Decrease,I walked as fast as I could to avoid the situation from happening any longer.,creepy ,"I remember there was a man in a cage, with a mask, reaching out to grab people. He kept making quick and startling movements. ",petrified,2
2351,1,0,0,0,Decrease,I just had to rush to the end. I was also kind of happy to experience something that was actually scary for once during this whole thing. took deep breathes afterwards.,floor,"that moving floor!!! I did not enjoy it, scariest part of the whole thing. I knew the floor wasn’t going to give out but it made me just want to run across it as fast as possible. too real",panicked,4
2342,0,0,1,1,Decrease,I panicked for a second before remembering that everything was a show.,Disorienting,"In the room with the bodies hanging in the freezer, there were bright flashing lights that distorted my vision and affected how I walked. These lights caused me to walk into one of the bodies hanging in the freezer which caught me off guard.",panicked,1
2310,1,0,0,1,Decrease,"deep breath, look forward, hold friend's hand",jail cell ,characters were hanging within jail cells. they moved about in a slow manner and then did a jump scare and/or made noises. ,overwhelmed,2
2309,1,0,0,1,Decrease,"deep breath, look forward, hold friend's hand",chain saw ,walking down a narrow hallway with a character chasing me with a chain saw. the character was wearing a big jacket and maybe a mask. the character made crazy noises when using the chainsaw. ,overwhelmed,1
2304,1,0,0,1,Decrease,"deep breath, look forward, hold friend's hand",tunnel ,tunnel in delirium. spirals / stripes along the walls. walk through the tunnel and felt like the tunnel that moves in a fun-house. ,overwhelmed,1
2303,0,0,0,1,Decrease,Same as above ,Bus,"I hates the bus. The strobe lights were disorienting and the passage between the seats was really narrow, so I felt a little claustrophobic ",overwhelmed,2
2287,0,0,0,0,Decrease,closed my eyes for a part of it ,unpredictable,Walking through the bus and seeing a couple people sitting with their face down. I was scared because I didn't know of the person was real or not. ,onedge,3
2284,1,1,0,1,Decrease,by breathing slow and remaining calm,frightened,there was a man who slide open a window and popped out. in a skinny hall way.,onedge,2
2280,0,1,1,0,Decrease,I focused on taking everything plafully,Impressed,Actor yelling at me to mind my tongue or he will rip it out,offense,1
2276,0,0,1,0,Increase,I walked around and expected and anticipated how the actors would scare me or what sounds I would here as I walked through the sections.,Alarming,"I guess when I first walked into delirium and an actor made a loud noise with a cane or something, that was the moment when I kind of said to myself, ""Okay, here we go, I'm in a haunted house now."". So that was the moment I started internalizing and mentally preparing myself for what I was about to experience.",observant,4
2274,1,0,0,0,Increase,I was being even nosier by acting on the feeling and looking into the box. ,Curious,The box we passed seemed to be hanging from the ceiling and rattling. There was also noises coming from inside the box. I remember wondering if there was an actor crouched inside rattling the box or if the box automatically did that and had no one inside. I remember looking into the box to try to figure it out but the glass was cloudy. I remember feeling curious. ,nosy,2
2254,0,0,0,0,Decrease,I attempted to reduce this emotion by putting my trust in Steven that he wasn't going to let us be separated from each other. ,Bunny,"Waiting in line for Machine Chop, the actor outside, character named Bunny, was telling us to get into a single file line, tallest to smallest, for groups bigger than two (our group) and we didn't, I assume because she recognized Steven, and I was real concerned that we might get separated. ",nervous,4
2244,1,0,0,1,Decrease,"I attempted to reduce this emotion by being extra vigilant and watching my steps very, very carefully. ",Stairs,"In The Crypt, there were staircases that we went up and down on and with the lighting and my less than excellent balance, I was a bit nervous using them. ",nervous,3
2224,1,0,0,1,Increase,Screamed louder,Gasoline,The second emotion I felt was anxiety to be honest! not knowing if there is anther chainsaw coming around the corner was really scary ,nervous,2
2223,1,0,0,1,Decrease,"take deep breath and look somewhere else, hold friend's hand",jail cell ,characters were hanging within jail cells. they moved about in a slow manner and then did a jump scare and/or made noises. ,nervous,3
