PID,EventNum,EventKey,EventDesc,Judgement
A-080,1,bus,"in The Crypt bus, there were bodies hidden in the dark flashing lights that were completely still, and it was difficult to know whether they were ""dead"" or ""alive."" i remember feeling scared that one of them might get up and start moving towards me. i believe some of them did towards other people. i kept moving through it slowly, overwhelmed by the light and dark flashes while there were mysterious objects present throughout the room.",Crypt
A-081,1,Bus,FIrst event was the bus. Going on to a dark bus with a bunch of random fake dolls on it and some actors placed in screaming and being weird,Crypt
A-081,5,Bus,Dark bus with people hiding in seats,Crypt
A-084,1,bus,on the bus when i didnt know which people in the seats were real people or dummies and wondering which one was going to scare me next,Crypt
A-088,1,bus,"going through the school bus with all of the flashing whitE lights and combination of dummies and real actors in the seats. there was a dummy woman with ratty long blonde hair in a stiff downward facing position in the first seat on the left side of the bus. it made me think of marching band, which was the last time i regularly took the school bus my senior year of high school. we walked in a single file line within our group, and i was the last person. a few of the actors yelled out at us and it made me giggle.

",Crypt
A-102,3,bus,We walked up the stairs into the bus.  I noticed all the human shapes in the chairs.  It was strobing. I was sure one of them would be a real person and jump at me. I could see the light to the outside and I focused on that and walked out.,Crypt
A-105,2,bus,Walking through the bus at the beginning of the Crypt section. There were people sitting on the bus in the seats as we walked down the middle. ,Crypt
A-117,1,Bus,The man hiding at the back of the bus who jumped out at me,Crypt
A-122,3,bus,"Strobe light bus, You get on the walk through a dark bus with people in the seats and you cant tell which is an actual person vs just a dummy because of strobe lights.",Crypt
A-123,3,bus,"blue school bus, actress in front seat, mannequins in seats, man in black cape, strobe lights",Crypt
A-124,1,Bus,"Walking through the bus- I remember flashing lights and having a hard time seeing, I was afraid of the people sitting in the seats and spend time trying to figure out whether or not they were real but it was really hard to tell because of the flashing lights. I remember at the end there was one real actor that jumped at the person in front of me and I was thankful that it wasn't me so I wouldn't scream. ",Crypt
A-048,1,bus ,Bus walk through. dark with fog/smoke surrounding. people sitting in the seats. cannot see in front of me or know where to walk. Exit bus. ,Crypt
A-046,3,butcher,"i remember towards the end after we walked through the cages, we got to a room and the line started to slow down. the room ahead of us was strobing and i saw bodies hanging from the ceiling. i couldn't tell who was real and who was fake, and it freaked me out. i moved slowly because i noticed the bodies were swinging in the strobes and i didn't want to be touched. one lady crept out of the shadows and scared me and i ran through",Crypt
A-041,2,cage,cages,Crypt
A-091,2,Cage,There were a bunch of actors placed within cages in the middle of the hall that had to be navigated around. There was a bunch of foliage on the cages and it was difficult to tell which way to walk.,Crypt
A-099,6,Cage,"In the Crypt when we got to the cell block that hanging box with the flashing bright blue/green/white light caught my attention.  I felt I could stare at this a bit longer because I was not fearful anything was going to come out because of how bulky, heavy looking and buttoned up (in terms of appearing secured) it was.  I also remember it being very loud banging/clanging and I feel I could not hear anything else going on besides what was in there. ",Crypt
A-046,2,Cages,"When we were walking through one of the attractions, we had to walk through a room filled with cages. Some of the cages had fake decorations or skeletons making sounds, and some had real people. I thought the people were enclosed in the cages, but then they broke out and started scaring us and I noticed the bars of the cages were made of a bendy material. ",Crypt
A-112,2,Captive,There was a person reaching out of the cages towards me. There were flashing lights and air blowing out of the walls with a loud noise.,Machine_Shop
A-004,2,Cautious,The other event I recall was a false door that opened and a hand sticking out. I remembered this moment because the person almost touched me.,Crypt
A-114,1,Cells/Cages,There were alot of people in cages. The cages were shaking and people were coming out of the cages.,Crypt
A-048,1,chain saw ,walking down a narrow hallway with a character chasing me with a chain saw. the character was wearing a big jacket and maybe a mask. the character made crazy noises when using the chainsaw. ,Machine_Shop
A-048,4,chain saw ,character chasing with a chain saw. ,Machine_Shop
A-064,3,chains,"the third was when we were walking through the walk through box thing and there was an actor there with an axe or something in his hand and he got right in my ear and said ""give up your worthless flesh and become one with the machine!"" to which i politely declined and walked on ",Machine_Shop
A-042,2,chainsaw,"Getting chased down by a guy with a chainsaw, was very shocked and scared. ",Machine_Shop
A-102,6,Chainsaw,We walked outside and saw the outside of the penitentiary lit up.  There was a scare actor with a chainsaw there and he chased down the ramp and back inside.,Machine_Shop
A-105,2,chainsaw,When we turned the corner to get to the outside part there was a man with a chainsaw who started yelling and chasing us while using the chainsaw.,Machine_Shop
A-117,4,Chainsaw,Man chasing me with the chainsaw. I can't remember what his face looked like but I remember he was chasing me down a ramp and followed me all the way down.,Machine_Shop
A-009,3,Chilling,"We walked through a hall that had portraits of people along the wall. It seemed to me that the pictures changed as we walked by them so I was looking at each picture intently, trying to uncover this metamorphosis. When go by this wall that has a hole where a picture should be, I as still staring hard, expecting another portrait. In it's place was a shrieking person and my blood almost jumped out of my flesh.",Crypt
A-122,1,Cinderblock,Man running through the hallway with a cinderblock,Machine_Shop
A-103,3,claustrophobic ,The third event I can remember is the bodies hanging upside-down overhead. There was many of them and we struggled to walk through without them touching which scared us. ,Crypt
A-098,1,clown,"walking through the tunnel in the first attraction, there was a clown at the end that gave me a lot of anxiety",Delirium
A-114,6,concerned ,Guy coming up close and talking in my ear ,
A-037,1,Concerning,The first event was the man with the chainsaw. He was heavier-set with longish hair. He was wearing red or orange. The chainsaw was very loud and smelled of gasoline. I remember thinking that he must've taken the teeth off the chainsaw for safety purposes because he got REALLY close to us.,Machine_Shop
A-023,5,Confusing," There was this cage that an actor like traveled through somehow. It looked like a solid cage with 4 walls, but someone walked right through the bars and jumped out and scared the people behind me. I didn't get to look hard enough to understand how he did that.",Crypt
A-054,5,contacts,at the entry way of machine shop there was a woman with a shaved head and spooky eye contacts that made her eyes look yellowy-white with no pupils. She had an axe and she was managing the line. She was precocious and saying things about how if you have attachment problems or separation anxiety you should reconsider.  ,Machine_Shop
A-117,2,Contortionist ,The woman who was rolling around on the ground,Crypt
A-018,5,conversation,My clearest memories happened right before we entered Halloween Nights and after we left (they were the conversations I had with the other people there) I do clearly remember a conversation I had during the third event with a boy there when we talked about zombies on the bus part of the section because I was scared there was going to be someone hiding in the seats of the bus that would pop up and I would scream.,Crypt
A-072,3,cool,after the part with the person on the table there was body parts hanging on the walls  i thought it was the best creepy decor so far,Machine_Shop
A-118,3,covid dude,I walked past a man that was talking to us and he told one of us to put our mask up,
A-008,1,creeper,people coming out from the dark spots in the walls,Delirium
A-002,1,Creepy,The man in the bus who got up and began approaching me,Crypt
A-021,3,Creepy,The bus at the beginning where there are dolls laying in all the seats. It is the entrance. There is fog beneath us. ,Crypt
A-022,2,Creepy,The school bus,Crypt
A-059,1,creepy,"The school bus was creepy because it had many dead bodies sitting in the seats. The bodies weren't real (there was only one or two live actors on the bus), but they served their purpose in creating a creepy vibe. The dead bodies were pretty evenly spaced and were one to each seat. The live actor was standing on the seat and seemed to be wearing a gown. ",Crypt
A-060,2,creepy,walking through the hallway with the jail cells and the actors jumping thru the cells,Crypt
A-072,2,creepy,"when i was walking towards the area with the person laying on the table, there was someone else by them scaring people as you entered the room so i didn't expect there to be someone else it was more of a suprise than scare ",Machine_Shop
A-073,3,creepy,the monkey person,Crypt
A-103,4,creepy ,"I remember there was a man in a cage, with a mask, reaching out to grab people. He kept making quick and startling movements. ",Crypt
A-034,1,Curiosity,"Two raised, neon dancers ",Delirium
A-059,3,Curious,The box we passed seemed to be hanging from the ceiling and rattling. There was also noises coming from inside the box. I remember wondering if there was an actor crouched inside rattling the box or if the box automatically did that and had no one inside. I remember looking into the box to try to figure it out but the glass was cloudy. I remember feeling curious. ,Crypt
A-027,1,dark,walking inside then out of the abandoned bus with music playing it was the very beginning of the attraction.,Crypt
A-072,1,dark,"walking in and it was darker than the previous two rooms, expected it to have more jump-scares because of the darkness and fashing lights",
A-088,2,demon,"the second evocative event was seeing the two large demonic looking figures that were hanging from the cieling in the main penetentiary hallway  wherethe jail cells were. they had long saggingrags on their bodies and long hands fingers i believe. Big heads. they were silhouetted by the lights below them and no lightsabove them. UNDErneath them was the netted area with foliage and chains and cages with piles of body parts in them. I liked the composition of the scene, I thought it looked rather pretty in addition to it feeling rather eerie, chilly, spooky. Crawling on my spine feeling.
",Crypt
A-102,1,Demon,We walked into the demon room and I realized we were on the second floor of one of the halls.  I could see the big demon puppet hanging from the ceiling.  I really appreciated how they were using the architecture.  Dara let go of my hands on the way down the stairs because I was ging too fast.,Crypt
A-089,4,Despite,"'- in the crypt there were body bags hanging from the ceiling 
- strobe lights flashed on and off
- 2 men ran up and down scaring you",Crypt
A-006,6,Detective,Man dressed as detective looked at a wall with a magnifying glass,Take_13
A-103,2,difficult ,The ground shaking when we walked through that box thing. I remember it felt like the ground was really moving and it was hard to walk. ,Machine_Shop
A-048,6,director's chair ,director's chair ,Take_13
A-034,5,Disbelief,Cloaked demon man following me throughout the entire section,Crypt
A-114,3,discombobulating ,strobe lights ,
A-114,1,discombobulating ,the floorboards moving ,Crypt
A-004,4,Disgust,Hanging bodies was a part that I felt disgusted even though I knew it was all props.,Crypt
A-004,3,disorianted,The third event would be strobing lights. At could barely see anything but at the corner of my eye saw a figure creep up on me.,
A-023,2,Disorienting,I remember the hallway with the strobe lights because it was the first thing that made me feel a little anxious. I was a little disoriented. It felt like the hallway was going on for ever and ever.,Machine_Shop
A-119,1,Disorienting,"In the room with the bodies hanging in the freezer, there were bright flashing lights that distorted my vision and affected how I walked. These lights caused me to walk into one of the bodies hanging in the freezer which caught me off guard.",Crypt
A-093,3,disturbing,MEAT BAGS,Crypt
A-103,1,disturbing,The first event I can remember is when the people were screaming behind the cells. I also remember the man on the game control panels in the beginning. ,Crypt
A-119,1,Dizzy,"In the first section, there was a tunnel that felt like it was spinning. When I went in I thought I would fall or trip and made sure to look down at my feet to make sure I was walking correctly. I also remember hanging on to the rail",Delirium
A-089,6,Dread,'-there was a man in the second one we went through that would walk diagonal across the room and jump and scare the people exiting the room and the people in the room,
A-010,3,duck,The man in the beginning that was holding a brick and tried to hit me. It made me duck in fear and think to attack.,Machine_Shop
A-013,2,Eerie,"The second emotionally evocative event that occurred in The Crypt was walking through a forest. Upon entry, there was debris and as you moved farther into the event, you saw hanging bodies and even mutilated bodies on the floor. There was also two hanging bodies upon exit with a scare actor tangled in the vines on the right wearing a black cape. ",Crypt
A-009,2,Eerie ,Walking through the strobe light area in the Machine shop made me feel like I was floating in a bakery precarious place. Like youâ€™re in the dark and your feet arenâ€™t touching the ground ,Machine_Shop
A-084,2,electricity,The electric high voltage section where there were things rattling and making electric sounds ,Machine_Shop
A-114,4,fear,Guy chasing with weapons ,Machine_Shop
A-102,4,Finale,After the demon room we followed steve through the foggy strobing hallway which was my least favorite part because I had no idea what would come out of the sides and I couldnt see in front of me.  But it was sweet relief when we realized we were done,Machine_Shop
A-001,3,floor,moving floor,Crypt
A-068,3,floor,the moving floor caught me by surprise. It was disorienting to step on the floor and have it move when you were not expecting it. the floor was made of metal tiles that i guess were on a roller or something that allowed them to slide forward and backward while you were walking across them.,Crypt
A-076,6,floor,"that moving floor!!! I did not enjoy it, scariest part of the whole thing. I knew the floor wasnâ€™t going to give out but it made me just want to run across it as fast as possible. too real",Crypt
A-084,3,floor,When the floor rattled ,Crypt
A-091,3,floor,The actors around the moving floors made it a little distracting and slightly difficult to navigate. The floors were made of sheet metal and there were three separate pieces that moved. ,Crypt
A-098,6,floor,the floor boards moved under our feet when we stepped on them  it was a narrow pathway,Crypt
A-080,2,floorboards,the floorboard moved underneath you and swayed left to right which was very disorienting. it was difficult to walk in a straight line and gravity seemed to no longer exist for a moment.,Crypt
A-113,3,floorboards,The third event would be walking on the moving floorboards. The lights were flashing again and I was afraid I was going to fall over. I was trying to go quickly so none of the characters would catch me by surprise.,Crypt
A-042,4,Fog,"Fog machine and strobe lights made me very anxious while I was walking down the really long hallway, this was one of the most nerve-wracking parts of the night.",Machine_Shop
A-056,1,fog,man with afro jumping in front of me and scaring me . he came from heavy fog that made him invisible,
A-081,3,Foreign,The cages and the foreign lady. She was creepy and yelling in some foreign language overall she was pretty weird and scary,Crypt
A-060,4,freaky,walking through the tunnel at the end of an event,Machine_Shop
A-066,3,Freezer,"The bodies hanging in the meat freezer and a person inside having a hammer or axe, he also came after us when we were leaving. The bodies were hard to avoid and the lights were flashing a lot so it was hard to tell if there was a real person inside. ",Crypt
A-081,2,Freezer,Meat freezer with hanging bodies. It was freaky with all the bodies and the lights were flickering. Inside was an actor who was yelling and getting all close and barely could see as lights flickered,Crypt
A-124,3,Freezer, The freezer with the hanging bodies  was the most scared I was in any section. I remember again being uneasy that I couldn't see and the bodies were swinging so I felt like I was gonna knock into them. And while I was focused on how to avoid the bodies I was aware that there was a live actor near me. I think they could tell I was uneasy and he got in my ear and started growling.I laughed/screamed and I remember regretting it because I knew he would follow me and he did. I was too scared to look at his face and also wanted to keep facing forward so I wouldn't knock into anything so even though I knew he was near me it was hard to tell how close. Right before I exited the room her growled again and I screamed again. ,Crypt
A-047,6,Frightened,"The scariest thing that happened for me was in the meat locker in the Crypt. We walked into this big room where strobe lights were flashing and I could barely see. There was a wall to our left and bodies hanging in bags from meat hooks to our right. I can only remember seeing one actor in that room, but he was in the far right corner when we walked in and suddenly was right up in my face when we stepped into the middle of the room. It actually caused me to make a noise (I don't really scream when scared) and hide my face while holding my roommate's hand and walking quickly to get out of there.",Crypt
A-009,4,Frightened ,In the machine shop when the gate clanged down I jumped because I thought it was legitimately about to hit me,Machine_Shop
A-014,2,frightened ,the jump-scare in 3d glasses- person with bright colored makeup ,Delirium
A-012,1,frightening,walking through the school bus with the fake dead bodies,Crypt
A-013,3,Frightening,"The third emotionally-evocative event that occurred in The Crypt was one of the last events where you walked through a corridor with cells and things going on inside them. One of the first ones was a man with his head hanging out of a chamber screaming. Another notable one was two mutilated and emaciated beings, one of which was in a dress coat, on the right. They were sitting on the floor. The last cell was a guy in a black cape, a scare actor, who would run around the cell and reach his hands out screaming. He had on black gloves with claws on them. When going around him, he put his hand out right in front of the woman that was in front of our group and he squealed. ",Crypt
A-070,3,Frightening,"The third part I can remember is the bit with all the hanging limbs, and the man who was pounding on the walls. That part did make me a bit nervous, just not as terrified as the other parts.",Crypt
A-087,1,Frightening,"When the man jumped out from the doorway, at the beginning of the machine. ME and another member in my group both were scared from this.",Machine_Shop
A-111,3,frightening,guy with chainsaw chasing me,Machine_Shop
A-033,1,frightening ,The first emotionally evocative even that occurred within the Crypt was a character in black and white mask appearing with a weapon ,Crypt
A-060,1,fun,"meat freezer, the guy in there jumped out at me and got me pretty good",Crypt
A-018,1,Funny,The dude who came up to use early in the walk through and blocked our path then I just walked around him as he bothered the others in the study.,
A-088,5,Gangster,"There was a gangster sort of character at the end of Take 13 that was wearing a black suit and hat. He was a white man. He kept telling us to keep our eyes out, that there was something strange going on. He sounded so panicked and serious that for a second I didn't think he was acting. He was sitting on a desk. ",Take_13
A-017,2,Gasoline,The second emotion I felt was anxiety to be honest! not knowing if there is anther chainsaw coming around the corner was really scary ,Machine_Shop
A-009,1,Gory,"Walking into the bus, the strobe lights highlighting the dead skeletons with blood on their bones and holes in their skulls.",Crypt
A-122,5,Grab,Moving floor in the crypt with the U hallway,Crypt
A-054,1,green,"When we walked through delirium, there was a green laser beam that blocked your sight of the ground so you didn't know where you were walking. I thought I was going to walk into a wall. There were hands and people lurking under the green laser light that popped out.",Delirium
A-094,2,Gross,Saw the fake bodies hanging ,Crypt
A-091,1,Hall,We had to walk down a long empty hallway with doors to cells in it. There was fog and it was fairly dark,Machine_Shop
A-051,3,Hallway,"I can't remember which section this occurred in, somewhere between Machine Chop and The Crypt I believe, we were walking down a very long hallway and there were, again, intense strobe lights going on, and an actor came up behind me and growled in some crazy weird way that apparently every actor knew how to do and said, ""The ones at the back are easier to attack."" which was a very astute observation actually. ",Machine_Shop
A-065,3,Hallway,"The hallway of strobe lights and fog, long long tunnel full of smoke that we had to go through only two actors approached us , very disorienting ",Machine_Shop
A-066,6,Hallway,The empty hallway area where it was pitch black and actors placed throughout the hallway who scared us and followed with hammers and other weapons since we couldnt see very well. ,Machine_Shop
A-099,4,Hallway,"I did not know if this was part of one of the sets but I would be remiss if I did not mention it.  This is the long tunnel that we entered before the Shop set.  This was emotionally evocative because the strobe light and decreased visibility due to smoke really made me feel as if I was ""skipping frames"" in real life, and everyone time I saw a flash the person in front of me was in a different spot and the actors walking about appeared or vanished like that.  Also, there was one point where the line stopped for some reason and an actor bumped into me and apologized                          because he knew they were not allowed to touch us and kept saying he did not anticipate the line stopping like that.",Machine_Shop
A-106,3,Hallway,"There was a long hallway on the walk out that was strobe lit and had lots of potential for pop out scares, which really get me. I was Quite SPooked",Machine_Shop
A-113,4,hallway,"In the end of one of them, there was a long hallway with fog and the strobe lights were super strong and characters were running past you and I was so afraid they were going to touch me because the strobe light made it seem like I was seeing a series of pictures instead of a video. ",Machine_Shop
A-115,1,hallway,Walking through the tunnel to get to the next event ,Machine_Shop
A-099,3,Hand,"The third most evocative event was the hand in the table saw.  I think it was because most of the tour it was eyes front staying in line trying not to really react or be susceptible to the actors, so when I saw something I felt comfortable with looking at/investigating a little more I took the time to remember it.",Machine_Shop
A-001,2,hanging,people hanging in meat freezer,Crypt
A-065,2,hanging,"meat carcass room, there was the room with one live actor and strobe lights and a bunch of fake bodies hanging from their feet from the ceiling. the man scared the person in front of me, and was talking about blood and meat",Crypt
A-105,3,hanging,"There were hanging bodies from the ceiling towards the end, they were dangling with chains upside down swinging back and forth. There were black and white strobe lights going in and out.",Crypt
A-104,2,hanging-man,the hanging man that was like laying across the place we were walking and we had to like sneak around him and I literally thought he was going to grab us or fall into us or something,
A-001,1,Hatchets,There was a short black lady in front of the machine shop with two hatchets that she was swinging wildly in front of people.,Machine_Shop
A-006,5,hoops,Walking down a long black hallway with strobe lights and hoola hoops on the ground,Machine_Shop
A-070,2,Horrifying,The second part of this that I can remember is the bit with the man telling me he would chop my arms off.,
A-105,3,hula-hoop,There was a clown with hula hoops wrapped around his neck. We saw him once at the beginning when we first got into the penitentiary and then again at Delirium.,Delirium
A-095,2,Hungry,We walked past one of the bars,
A-034,2,Impressed,"The gate drop. I was very startled by the noise, and impressed at the position, posture, and stance of the man at the top. We were in a short tunnel, and he had his arms raised as he looked down on us.",Machine_Shop
A-071,1,Instructions,"When our group was receiving instructions, there was a loud bang that made me jump a little. We were surrounded by a ton of people who also reacted the same way, which made me feel better. ",
A-013,1,Intense,"The first emotionally evocative event that occurred within The Crypt was the very beginning when we were directed to enter a school bus. Once on board, there was flashing white light and scattered among the seats were either scary figure dummies or actual scare actors. There was screaming and growling and some of the actors jumped out at you as you moved through the bus. This was intense given there was a flashing light that made vision go out every other second. ",Crypt
A-013,2,Intense,"The second emotionally evocative event is when we had to walk through the hallway of cells. I remember that one of the first cells on the right had a dummy disguised as a prisoner halfway in a chamber. One of the next ones on the right had a dummy on the ground dressed as a man on the suit. It was emaciated like a skeleton and the torso was ripped a part. Toward the end, the last cell had an actual scare actor and he was dressed in black with a purple cape. He had black gloves on with these long nails/claws and he would walk around the cell looking at you as he grabbed the bars and screamed at you. He would also reach out and put his hand in front of you. When we were on the middle part of the cell that was protruding parallel to the wall, the woman in front of us got scared as the man put his gloved hand directly in front of her face. ",Machine_Shop
A-014,3,Intense,"I would say the third event was the crate dropping, it did get my heart racing but I heard it and say it coming even before I got to that part of the tour.",Machine_Shop
A-073,1,intense,during the crypt the noises were emotionally evocative. ,Crypt
A-012,1,interesting,The spiders with the glow paint,Delirium
A-095,5,Interesting,Talking to the tour guide about the prison,
A-094,2,Intrusive,actors getting significantly close to me,
A-086,2,Jail,The foliage covered jail cells that had some moving animatronics in them with a few scare actors scattered around,Crypt
A-048,2,jail cell ,characters were hanging within jail cells. they moved about in a slow manner and then did a jump scare and/or made noises. ,Crypt
A-105,5,jail cells,The monsters in the jail cells would hide and then just randomly walk up next to us as we were walking through the section. ,
A-073,2,jarring,"also, the bodies hanging from the meat freezer were also emotionally evocative",Crypt
A-094,1,Jarring,A dark room that was almost pitch black and the sound of chainsaws,Machine_Shop
A-102,2,Jokes,We walked through the first room of delirium and Dara and I joked that it was a Tyler installation and cut the tension.  But then we walked out and saw it was clowns themed and were immediately put back in our place.,Delirium
A-111,1,jump,probably the first jump scare in the delirium section which I am sure sent my heart racing,Delirium
A-019,1,jumpscare,"The first event was small, it just a guy jumping out at me, I forgot what he had in his hand but he was wielding something. ",
A-060,2,jumpscare,actor walking up to me and getting in my face,
A-089,2,Jumpy,"'- in the crypt there was a man hiding in a box with openings on either side, he jumped at one and came around and jumped out the other",Crypt
A-059,1,Ladies,"When we were walking into Delirium, there were two women dancing on the table right at the entrance of the haunted house. They were dressed in dresses and moving very slowly. I remember thinking this was funny because what is scary about dancers? I remember making a comment to Steven about the dancers. ",Delirium
A-059,2,laugh,"I was at the back of the group and the actor scared the person in front of me but failed to make me jump. The actor went up to me and said ""you're not scared are you."" He then followed me for a little bit and snarled in my face. The snarling in the face caused me to laugh. I'm not sure why I laughed but I laughed every time the actors got in my face. I think it was because I was a bit uncomfortable with having the actor so close to my face. ",
A-083,1,Lights,The room with the strobe lights that had bodies hanging. There was someone that would slowly walk up as I walked,Crypt
A-014,1,Loud,"I would say walking through the long hallway on the way out, I did not know when people were hiding and going to jump out. Everyone was dressed in black and I did not know if they were going to jump out. I knew it was coming but did not know when which got my heart racing the most",
A-027,3,loud,the box with loud bangng noise,Crypt
A-072,5,loud,entering the third event there was a man standing outside of the entry who was swinging a stick i thought he was very loud but was a good actor cause he scared a little boy a lot ,
A-082,1,loud,The chain saw,Machine_Shop
A-101,2,loud,"After the first room of the Machine Shop, we went into a small outdoor corridor. There was a man standing against the wall. As we started walking, he revved his chainsaw and jumped out at us. He turned to the next person, and we kept moving, but he turned around again and chased us to the entrance to the next part of the event.",Machine_Shop
A-103,2,loud,The second event I can remember is when there was a loud box that had a man inside it getting electrocuted. It was shaking aggressively. ,Crypt
A-120,2,Loud,"A really loud sound box played and made it difficult to know what was going on.  The sound was very disorienting, and on top of that sound there was a lot of screaming.",Crypt
A-015,2,loud ,The second event was the guy with a chain-saw coming at you. ,Machine_Shop
